Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol","Wkly Opts",Direction,Strength,"14D Stoch %K","50D RelVol"
COHR,"Coherent Corp","Technology Services",275.02,+0.99%,3,Buy,"100% Buy",+355.23,+260.59%,200.96,234.43,169.92,259.07,58.04,246.34,51.37,4888022,Yes,Strongest,Maximum,67.28%,0.52
TER,"Teradyne Inc","Electronics Products - Misc",324.71,+1.43%,1,Buy,"100% Buy",+289.98,+259.57%,238.12,286.15,202.21,303.86,60.26,245.32,70.69,3647156,Yes,Strongest,Maximum,87.06%,0.58
ARWR,"Arrowhead Pharma","Medical - Biomedical",61.71,+9.67%,4,Sell,"40% Buy",+245.64,+312.76%,59.76,63.18,50.42,59.52,52.54,298.51,-4.83,2505342,No,Weakening,Average,39.51%,0.59
NESR,"National Energy Services Reunited Corp","Oil Field Machinery & Equip",22.73,+2.62%,1,Sell,"88% Buy",+226.30,+179.73%,17.93,21.36,15.39,21.73,57.17,165.48,48.1,1178936,No,Strengthening,Strong,81.88%,0.45
LAR,"Lithium Argentina Ag","Mining - Misc",7.25,+2.84%,1,Sell,"56% Buy",+223.19,+214.85%,6.21,7.24,5.4,6.89,54.78,200.6,32.8,2814699,No,Weakening,Good,69.42%,0.47
GILT,"Gilat Satellite Ntwk","Satellite Communication",17.41,+3.57%,4,Hold,"80% Buy",+195.26,+159.61%,14.81,16.99,13.9,16.82,55.22,145.36,38.21,796422,No,Strengthening,Strong,52.06%,0.38
LINC,"Lincoln Educational",Schools,42.04,+2.94%,11,Buy,"100% Buy",+193.95,+169.94%,26.86,31.72,24.98,37.53,76.93,155.69,79.08,351258,No,"Top 1%","Top 1%",88.37%,0.52
RKLB,"Rocket Lab Corporation","Aerospace - Defense Equipment",72.03,+9.02%,5,Sell,"56% Buy",+177.90,+253.77%,66.93,75.39,62.61,70.42,50.75,239.52,6.39,22971523,Yes,Average,Average,25.93%,1.29
DSGN,"Design Therapeutics Inc","Medical - Biomedical",10.8,+4.75%,2,Hold,"96% Buy",+177.13,+134.20%,9.43,10.22,8.33,10.32,56.9,119.95,18.2,252123,No,Strengthening,Strong,46.75%,0.81
IMNM,"Immunome Inc","Medical - Biomedical",20.74,+2.62%,3,Sell,"24% Buy",+166.68,+198.99%,20.88,22.69,17.93,21.11,45.64,184.74,0.33,1480087,No,Weakest,Soft,29.78%,0.55
UI,"Ubiquiti Networks","Wireless Equipment",847.28,+1.53%,8,Buy,"100% Buy",+165.33,+160.62%,638.62,687.6,637.38,780.08,67.5,146.37,55.54,139699,No,Strongest,Strong,92.24%,0.49
TIGO,"Millicom International Cellular S.A.","Wireless Non-US",77.07,+2.66%,5,Buy,"100% Buy",+160.00,+158.50%,59.27,66.56,55.45,72.62,66.24,144.25,42.31,1095215,No,"Top 1%","Top 1%",94.68%,0.45
ELVR,"Sayona Mining Limited ADR","Mining - Misc",54.55,+9.63%,2,Hold,N/A,+158.29,N/A,47.5,54.17,0,51.67,55.93,N/A,8.82,N/A,No,N/A,N/A,58.00%,0.77
ALNT,"Allient Inc","Electronics - Misc Components",66.42,+2.09%,3,Sell,"72% Buy",+155.87,+177.73%,59.08,63.9,55.12,63.67,55.02,163.48,26.31,179594,No,Average,Strong,77.20%,0.34
TEN,"Tsakos Energy Navigation Ltd","Transportation - Ship",38.3,-3.11%,6,Buy,"100% Buy",+147.74,+130.68%,27.47,31.02,25.73,36.14,64.93,116.43,74.8,374760,No,Strongest,"Top 1%",86.91%,0.52
NE,"Noble Corp Plc","Oil & Gas - Drilling",49.75,-0.06%,6,Buy,"100% Buy",+140.07,+106.14%,35.78,41.75,33.52,46.38,69.48,91.89,80.09,2186863,No,Strongest,"Top 1%",87.19%,0.27
COGT,"Cogent Biosciences Inc","Medical - Biomedical",36.77,+5.18%,1,Sell,"56% Buy",+138.71,+432.90%,35.75,37.2,28.49,36.28,52.35,418.65,7.11,2655667,No,Weakening,Average,54.79%,0.51
EWTX,"Edgewise Therapeutics Inc","Medical - Biomedical",31.92,+4.18%,5,Buy,"100% Buy",+120.82,+39.56%,25.96,29.31,22.33,29.68,61.02,25.31,31.82,1031586,No,Strongest,Strong,73.64%,0.46
TXG,"10X Genomics Inc","Medical Information Systems",20.96,+5.81%,4,Sell,"88% Buy",+116.65,+115.03%,18.44,20.1,16.58,20.21,57.13,100.78,32.13,2901401,No,Strengthening,Strong,64.09%,0.49
AIR,"AAR Corp","Aerospace - Defense Equipment",119.46,+10.81%,3,Hold,"96% Buy",+116.43,+72.74%,96.79,109.81,91.09,110.27,63.41,58.49,48.85,459046,No,Strengthening,Maximum,51.51%,1.71
KLIC,"Kulicke and Soffa","Electrical - Manufacturing",68.79,+1.10%,1,Sell,"88% Buy",+115.73,+87.96%,54.79,64.91,49.72,66.23,56.1,73.71,53.96,595897,No,Strengthening,Strong,82.75%,0.23
SITM,"Sitime Corp","Electronics Products - Misc",354.72,+0.10%,2,Sell,"40% Buy",+115.24,+89.60%,350.82,374.27,325.19,359.42,47.73,75.35,3.58,380709,No,Weakest,Soft,53.86%,0.46
ASML,"Asml Holdings NY Reg ADR","Semi-Eqpt Wafer Fabrication",1401.34,+0.14%,1,Sell,"72% Buy",+111.36,+92.44%,1237.78,1395.55,1129.16,1377.76,52.43,78.19,34.31,1671236,Yes,Average,Strong,83.44%,0.66
INTC,"Intel Corp","Semi General",47.37,+7.51%,4,Sell,"72% Buy",+108.44,+96.01%,42.49,46.63,38.78,45.32,55.52,81.76,32.14,104810602,Yes,Average,Good,46.86%,0.67
CMP,"Compass Minerals Intl Inc","Chemical - Diversified",24.74,+2.49%,3,Hold,"80% Buy",+107.03,+161.39%,21.37,23.82,20.49,23.55,59.58,147.14,30.96,507111,No,Strengthening,Good,76.63%,0.53
NWPX,"Nwpx Infrastructure Inc","Steel - Specialty",79.78,+1.40%,2,Hold,"96% Buy",+102.32,+82.76%,66.82,72.89,62.01,76.09,60.77,68.51,30.87,73618,No,Strongest,Maximum,73.24%,0.38
LIND,"Lindblad Expd Holdings","Leisure & Recreation Services",18.78,+3.36%,1,Sell,"72% Buy",+100.67,+81.23%,15.65,18.19,14.8,18.05,56.62,66.98,34.17,498678,No,Strengthening,Strong,78.34%,0.35
