Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
SLS,"Sellas Life Sciences Group Inc","Medical - Biomedical",9.17,+1.10%,4,Buy,"100% Buy",+267.47,+418.08%,5.69,6.76,4.74,8.31,63.98,397.3,135.75,6807478,Strongest,"Top 1%",84.40%,0.58,7.04,9.58,84%
EVC,"Entravision Communications Corp","Broadcast - Radio & TV",11.21,+3.41%,4,Buy,"100% Buy",+210.38,+373.00%,5.17,7.29,4.45,9.46,70.61,352.22,275.1,1032736,Strongest,"Top 1%",94.00%,0.59,8.19,10.72,119%
CCCC,"C4 Therapeutics Inc","Medical - Biomedical",4.25,+0.71%,4,Buy,"100% Buy",+159.93,+172.44%,2.97,3.44,2.74,3.98,63.15,151.66,115.02,2287414,Strongest,Maximum,70.84%,1.05,3.48,4.48,77%
OVID,"Ovid Therapeutics Inc","Medical - Biomedical",2.5,+7.76%,4,Sell,"56% Buy",+153.72,+728.64%,2.27,2.59,2.05,2.4,53.35,707.86,45.88,2573505,Average,Average,51.66%,1.22,2.14,2.67,68%
MRVI,"Maravai Lifesciences Holdings Inc Cl A","Medical Products",5.76,+7.26%,11,Buy,"100% Buy",+121.95,+158.30%,3.78,4.37,3.73,5.02,78.69,137.52,69.74,1764218,"Top 1%","Top 1%",92.71%,1.19,4.45,5.59,115%
CBL,"Cbl & Associates Properties Inc","REIT - Equity Trust Retail",50.99,+1.80%,6,Buy,"100% Buy",+100.78,+97.10%,42.23,46.54,40.09,48.65,66.05,76.32,30.32,169591,"Top 1%","Top 1%",81.52%,1.34,46.51,50.79,105%
M,"Macy's Inc","Retail - Regional Dept Stores",25.34,+5.80%,7,Buy,"100% Buy",+97.70,+134.41%,20.22,21.01,20.8,23.27,65.75,113.63,7.43,7201921,"Top 1%",Strong,77.12%,1.11,20.49,26.04,87%
NDLS,"Noodles & Company","Retail - Restaurants",14.81,+8.34%,12,Buy,"100% Buy",+94.10,+140.33%,9.12,12.04,8.07,13.23,66.32,119.55,154.73,82193,"Top 1%","Top 1%",75.48%,1.61,11.45,15,95%
CTNM,"Contineum Therapeutics Inc","Medical - Biomedical",12.82,+7.64%,1,Sell,"24% Sell",+92.55,+183.00%,13.52,12.99,12.88,12.28,53.29,162.22,4.67,232235,Weakest,Minimum,43.93%,1.41,10.94,13.62,70%
DRUG,"Bright Minds Biosciences Inc","Medical - Biomedical",66.22,+1.67%,2,Sell,"40% Sell",+91.75,+136.50%,78.54,79.34,78.95,69.57,42.37,115.72,-22.64,196206,Weakening,Weak,38.78%,1.14,49.82,89.33,42%
GRAL,"Grail Inc","Medical - Biomedical",64.58,+5.68%,2,Hold,"16% Sell",+87.53,+46.94%,61.69,59.6,73.54,62.95,55.1,26.16,-32.04,1037031,Weakest,Weak,47.79%,0.92,54.02,71.88,59%
NEO,"Neogenomics Inc","Medical - Biomedical",12.9,+12.47%,7,Buy,"56% Buy",+72.12,+78.42%,9.43,9.56,10.32,10.91,74.05,57.64,2.2,2455569,Strengthening,Good,82.11%,2.39,9.51,12.3,121%
CADL,"Candel Therapeutics Inc","Medical - Biomedical",9.27,+2.09%,5,Buy,"100% Buy",+71.46,+91.13%,6.48,7.78,6.17,8.53,63.26,70.35,56.58,1258141,Strongest,Maximum,75.41%,0.68,7.73,9.32,97%
OPLN,"Openlane Inc","Auto - Truck Original Parts",39.41,+2.36%,8,Buy,"100% Buy",+70.66,+72.17%,31.85,35.27,30.79,37.73,64.71,51.39,24.85,917292,"Top 1%",Maximum,80.29%,0.95,35.99,39.47,98%
MPLT,"Maplight Therapeutics Inc","Medical - Biomedical",30.65,+7.02%,5,Sell,N/A,+68.90,N/A,24.01,29.05,21.79,28.95,55.8,N/A,67,N/A,N/A,N/A,67.72%,1.18,26.95,30.96,92%
LQDT,"Liquidity Services","Auction Valuation Services",38.9,+1.20%,13,Buy,"100% Buy",+68.29,+64.69%,33.4,35.7,32.39,37.25,65.54,43.91,20.85,174454,"Top 1%",Maximum,79.92%,0.97,35.63,38.87,101%
RUN,"Sunrun Inc",Solar,14.42,+12.57%,5,Sell,"40% Sell",+67.76,+100.28%,14.41,13.51,15.83,13.85,55.46,79.5,-29.12,9018221,Weakest,Weak,44.10%,5.56,11.15,16.55,61%
MAC,"Macerich Company","REIT - Equity Trust Retail",25.41,+4.18%,10,Buy,"100% Buy",+65.17,+54.28%,20.98,22.57,19.99,23.69,65.17,33.5,30.16,2358245,"Top 1%","Top 1%",68.75%,1.31,21.63,25.75,92%
UTHR,"United Therapeutic","Medical - Drugs",549.9,+1.02%,2,Sell,"56% Buy",+64.34,+89.66%,540.21,563.57,522.24,548.65,48.41,68.88,5.37,539545,Weakening,Soft,45.65%,0.76,533.26,564.05,54%
ADPT,"Adaptive Biotechnologies Corp","Medical - Biomedical",19.34,+12.25%,9,Buy,"56% Buy",+64.14,+81.60%,15.03,15.07,15.71,16.8,67.66,60.82,11.6,2196101,Strengthening,Good,65.40%,2.36,14.17,19.42,98%
OOMA,"Ooma Inc","Communications Components",18.49,+2.32%,2,Hold,"80% Buy",+62.65,+47.10%,15.3,17.48,14.04,17.46,59.54,26.32,50.14,229014,Strengthening,Strong,79.35%,1.03,16.64,18.29,112%
WEST,"Westrock Coffee Company","Beverages - Soft",9.68,+6.61%,5,Buy,"100% Buy",+61.03,+65.19%,5.98,7.44,5.41,8.52,66.26,44.41,130.35,514964,Strongest,Maximum,78.98%,1.09,7.13,9.91,92%
CHMG,"Chemung Financial Corp","Banks - Southeast",74.4,+1.09%,9,Buy,"100% Buy",+60.20,+56.63%,62.45,68.03,60.03,70.78,68.47,35.85,25.84,15288,"Top 1%",Maximum,84.17%,1.16,67.34,74.23,103%
HZO,"Marinemax Inc","Retail - Misc & Diversified",37.08,+6.58%,3,Buy,"100% Buy",+56.25,+46.10%,30.18,32.47,28.55,34.33,66.48,25.32,45.54,373286,Strongest,"Top 1%",80.32%,1.03,32.38,36.29,120%
WST,"West Pharmaceutical Services","Medical - Dental Suppliers",340.41,+1.20%,6,Buy,"100% Buy",+55.39,+52.87%,277.57,309.59,274.37,324.87,67.49,32.09,16.23,826113,Strongest,Maximum,85.42%,1.02,308.67,341.07,98%
ATAI,"Ataibeckley Inc","Medical - Biomedical",4.17,+1.71%,6,Sell,"24% Sell",+53.50,+97.63%,3.97,4.21,3.97,4.18,51.84,76.85,-5.53,5200997,Weakest,Minimum,37.94%,0.81,3.54,4.81,50%
RRBI,"Red River Bancshares Inc","Banks - Southwest",91.44,+1.01%,6,Sell,"72% Buy",+52.30,+58.04%,90.49,91.41,84.53,90.67,53.17,37.26,20.52,51981,Average,Average,43.44%,1.38,88.15,93.2,65%
MRK,"Merck & Company","Large Cap Pharma",120.6,+0.84%,2,Buy,"88% Buy",+48.69,+50.15%,117.18,115.51,112.79,117.93,58.03,29.37,7.08,12044074,Strengthening,Average,58.79%,1,113.07,122.78,78%
BC,"Brunswick Corp","Leisure & Recreational Prdcts",84.85,+4.44%,2,Buy,"100% Buy",+48.49,+50.20%,79.3,80.44,78.23,82.15,58.3,29.42,6.8,835396,Strongest,Average,56.85%,1.33,79.38,84.92,99%
NRC,"Nrc Health","Business Information",20.7,+3.29%,7,Buy,"100% Buy",+48.06,+20.07%,17.15,18.6,17.64,19.37,60.29,-0.71,2.79,106463,Strongest,Strong,66.06%,0.68,17.74,20.99,91%
PDLB,"Ponce Financial Group Inc","Finance - Misc Services",19.68,+0.05%,7,Buy,"100% Buy",+44.34,+45.56%,17.49,18.31,17.08,19.12,65.05,24.78,12.88,69666,Strongest,"Top 1%",84.92%,1.45,18.51,19.73,96%
