Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D RSI","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
VSAT,"Viasat Inc","Wireless Equipment",74.13,-0.99%,3,Buy,"88% Buy",+174.94,+398.86%,64.09,71.97,56.92,74.85,52.65,382.6,106.6,2079240,Weakening,Strong,62.29%,0.55,63.65,86.04,47%
LIND,"Lindblad Expd Holdings","Leisure & Recreation Services",29.74,+5.87%,2,Buy,"100% Buy",+168.53,+149.29%,21.55,24.64,20.14,27.01,68.42,133.03,97.72,685955,Strongest,"Top 1%",79.25%,1.14,24.85,29.17,113%
ECPG,"Encore Capital Group","Finance - Consumer Loans",95.9,+1.54%,4,Buy,"100% Buy",+162.75,+150.13%,80.81,85.7,73.06,90.78,63.78,133.87,67.93,284668,Strongest,Maximum,84.10%,1.41,85.93,95.62,103%
AMLX,"Amylyx Pharmaceuticals Inc","Medical - Drugs",19.55,+0.31%,4,Buy,"100% Buy",+138.41,+144.68%,15.68,15.98,15.05,18.06,64.46,128.42,53.32,1412359,Strongest,Strong,88.17%,2.19,16.85,19.27,112%
CTRN,"Citi Trends Inc","Retail - Apparel & Shoes",67.12,+2.88%,9,Buy,"100% Buy",+134.43,+123.14%,50.07,53.81,48.31,61.07,65.39,106.88,52.98,120977,"Top 1%","Top 1%",78.84%,1.2,53.1,69.04,88%
KNSA,"Kiniksa Pharmaceuticals International Plc","Medical - Biomedical",79.44,+25.03%,5,Buy,"100% Buy",+131.00,+193.79%,53.12,57.4,49.82,64.11,78.08,177.53,84.06,642843,"Top 1%","Top 1%",57.44%,3.63,56.5,71.71,151%
DYN,"Dyne Therapeutics Inc","Medical - Drugs",25.9,+1.05%,10,Buy,"100% Buy",+130.33,+178.20%,19.44,20.55,18.77,23.67,69.86,161.94,23.89,2341312,"Top 1%",Strong,90.22%,1.03,21.78,25.57,109%
ATLC,"Atlanticus Holdings Corp","Finance - Misc Services",104.82,+0.60%,1,Buy,"100% Buy",+129.23,+108.27%,79.25,93.57,72.45,98.9,60.91,92.01,48.04,94823,Strongest,Maximum,82.29%,0.86,92.46,105.34,96%
BVS,"Bioventus Inc Cl A","Medical - Drugs",13.21,+6.10%,8,Buy,"100% Buy",+126.81,+102.30%,9.85,10.17,9.25,11.67,69.29,86.04,69.03,442681,"Top 1%","Top 1%",78.90%,1.34,9.97,13.36,95%
OOMA,"Ooma Inc","Communications Components",22.14,+6.54%,7,Buy,"100% Buy",+119.08,+86.36%,17.18,18.88,15.38,20.26,67.34,70.1,80.23,251680,Strongest,"Top 1%",73.47%,2.38,18.91,21.6,120%
CARE,"Carter Bankshares Inc","Banks - Northeast",34.54,+1.38%,5,Buy,"100% Buy",+116.93,+92.64%,26.99,30.66,24.91,33.09,67.18,76.38,67.17,229281,Strongest,"Top 1%",75.68%,1.36,31.32,34.86,91%
GRDN,"Guardian Pharmacy Services Inc Cl A","Medical - Drugs",41.86,+0.96%,2,Buy,"100% Buy",+95.30,+101.83%,38.31,40.28,36.09,40.71,56.89,85.57,30.6,370737,Strongest,Strong,83.37%,0.49,39.06,42.36,85%
VIK,"Viking Holdings Ltd","Leisure & Recreation Services",104.54,+1.36%,1,Buy,"100% Buy",+88.91,+77.85%,86.1,95.35,82,100,66.87,61.59,37.87,2638419,Strongest,Maximum,83.72%,1.01,95.55,104.45,101%
HBB,"Hamilton Beach Brands Holding Cl A","Appliances - Household",23.84,+7.73%,4,Buy,"100% Buy",+81.58,+42.41%,19.82,20.76,19.35,22.27,62.76,26.15,36.4,26238,"Top 1%",Maximum,56.10%,2.09,20.49,24.05,94%
NTAP,"Netapp Inc","Computer - Storage Devices",174.53,+2.79%,7,Buy,"100% Buy",+78.07,+63.25%,131.69,158.17,122.09,164.75,61.98,46.99,54.46,2510894,"Top 1%",Maximum,69.68%,0.81,153.54,175.95,94%
INCY,"Incyte Corp","Medical - Biomedical",129.93,+9.30%,8,Buy,"100% Buy",+75.04,+85.19%,101.45,107.46,101.76,117.01,76.76,68.93,23.03,1926624,"Top 1%",Maximum,82.80%,3.12,110.39,123.64,147%
CSCO,"Cisco Systems Inc","Computer - Networks",115.58,+0.88%,4,Sell,"56% Buy",+73.13,+70.17%,101.52,117.88,93.69,114.41,51.82,53.91,41.53,22844236,Weakening,Good,51.44%,1.13,108.36,120.47,60%
FNRN,"First Northern Community Bancorp","Banks - West",18.8,+1.62%,7,Buy,"100% Buy",+71.34,+77.36%,16.69,17.81,15.71,18.09,66.09,61.1,32.2,63451,Strongest,Maximum,72.57%,1.53,17.49,18.7,108%
ESCA,"Escalade Inc","Leisure & Recreational Prdcts",19.89,+4.96%,6,Buy,"100% Buy",+71.03,+56.37%,18.28,18.64,16.88,18.86,63.41,40.11,38.92,29882,Strengthening,Strong,66.78%,1.22,17.98,19.74,108%
MAC,"Macerich Company","REIT - Equity Trust Retail",26.51,+1.45%,4,Buy,"100% Buy",+69.89,+52.97%,22.35,24.28,21.22,25.41,66.42,36.71,35.09,2438865,Strongest,"Top 1%",87.24%,0.74,24.47,26.35,108%
