Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol","Wkly Opts",Direction,Strength,"14D Stoch %K","50D RelVol"
AXTI,"Axt Inc","Electronics - Semiconductors",64.44,+18.81%,10,Buy,"100% Buy","+2,113.74","+3,763.39%",21.8,31.09,15.9,44.7,71.81,3746.93,300.55,3870585,No,"Top 1%","Top 1%",92.20%,1.46
SNDK,"Sandisk Corp","Computer - Storage Devices",701.38,-1.17%,6,Buy,"100% Buy","+1,172.01","+1,190.20%",408.04,581.14,305.06,646.68,57.03,1173.74,196.86,10461590,Yes,Average,Maximum,80.40%,0.99
LITE,"Lumentum Holdings","Communications Components",729.21,+3.24%,4,Buy,"100% Buy",+896.78,+991.04%,424.96,545.98,334.47,678.05,59.02,974.58,100.75,4149965,Yes,Strongest,Maximum,78.59%,1.04
TERN,"Terns Pharmaceuticals Inc","Medical - Biomedical",49.51,+2.21%,15,Buy,"100% Buy",+652.18,"+1,383.58%",35.15,39.91,25.97,44.57,71.96,1367.12,26.6,2274380,No,Strongest,Strong,90.39%,1.31
WDC,"Western Digital Corp","Computer - Storage Devices",294,+0.31%,4,Buy,"100% Buy",+638.62,+574.03%,216.15,265.46,179.13,277.48,55.69,557.57,74.4,8709740,Yes,Average,Maximum,77.72%,0.68
LASR,"Nlight Inc","Electronics - Semiconductors",69.52,+5.72%,9,Buy,"100% Buy",+606.06,+719.92%,44.71,54.63,39.73,64.4,59.66,703.46,90.69,1052433,Yes,Strongest,"Top 1%",75.98%,0.85
CIEN,"Ciena Corp","Communications Components",407.87,+6.25%,7,Buy,"100% Buy",+600.03,+527.36%,255.45,300.7,215.38,350.34,68.06,510.9,79.44,2901353,Yes,Strongest,"Top 1%",88.52%,0.65
BW,"Babcock & Wilcox Enterprises","Electrical Power",14.05,-7.44%,11,Buy,"100% Buy",+567.61,"+1,631.34%",8.07,10.44,6.31,12.22,62.71,1614.88,142.85,3385742,Yes,Strongest,"Top 1%",90.46%,0.57
ERAS,"Erasca Inc","Medical - Biomedical",14.28,-2.19%,8,Buy,"88% Buy",+552.44,+832.35%,7.64,12.15,5.74,14.43,55.53,815.89,287.05,2943293,No,Average,Maximum,51.45%,0.58
HYMC,"Hycroft Mining Holding Corp","Mining - Misc",32.16,+7.20%,3,Sell,"56% Buy",+527.50,+890.24%,27.3,40.49,20.24,42.19,40.96,873.78,40.22,2541686,No,Weakening,Average,8.82%,0.67
NBTX,"Nanobiotix S.A. ADR","Medical - Biomedical",30.41,+4.75%,7,Buy,"88% Buy",+467.05,+736.46%,23.78,26.4,21.07,32.1,49.97,720,34.55,49073,No,Strengthening,Strong,9.35%,2.19
MU,"Micron Technology","Computer - Integrated Systems",403.7,-4.54%,5,Buy,"88% Buy",+405.66,+329.46%,327.01,402.2,271.82,415.86,48.21,313,46.11,28249969,Yes,Weakening,Strong,58.93%,1.25
ENLT,"Enlight Renewable Energy Ltd","Other Alt Energy",74.4,+4.10%,5,Buy,"100% Buy",+394.66,+361.53%,52.44,64.76,45.05,72.86,56.64,345.07,67.75,64045,No,Strengthening,Maximum,58.47%,0.78
RLMD,"Relmada Therapeutics Inc","Medical - Drugs",5.86,-3.46%,6,Buy,"100% Buy",+375.47,"+1,843.98%",4.23,4.56,3.37,5.51,55.22,1827.52,22.83,1051114,No,Average,Strong,54.78%,0.55
TNGX,"Tango Therapeutics Inc","Medical - Biomedical",18.88,-2.78%,9,Buy,"100% Buy",+370.67,+987.52%,11.27,13.59,10.02,15.74,77.78,971.06,119.61,2918922,No,Strengthening,"Top 1%",94.64%,0.68
TSEM,"Tower Semiconductor","Electronics - Semiconductors",172.14,+5.20%,8,Buy,"100% Buy",+358.80,+349.49%,119.04,130.96,101.77,131.72,74.04,333.03,50,1561332,No,"Top 1%",Maximum,88.63%,2.01
STX,"Seagate Technology Hldgs Plc","Computer - Integrated Systems",403,-2.00%,4,Buy,"100% Buy",+355.49,+358.75%,332.06,388.48,290.02,392.37,52.58,342.29,50.62,4154951,Yes,Average,Strong,77.41%,0.6
IRD,"Opus Genetics Inc","Medical - Biomedical",4.6,+4.78%,9,Buy,"100% Buy",+352.74,+262.70%,2.77,3.47,2.38,4.52,56.99,246.24,130.94,596777,No,Strongest,Maximum,38.86%,0.51
SLGL,"Sol-Gel Technologies Ltd","Medical - Generic Drugs",68,-6.81%,5,Sell,"56% Buy",+346.80,"+1,090.77%",56.71,73.9,47.85,84.11,38.05,1074.31,50.52,22231,No,Weakest,Average,28.94%,0.53
IREN,"Iren Limited","Finance - Misc Services",41.95,+1.60%,2,Sell,"8% Sell",+335.55,+487.55%,47.12,46.13,45.45,41.63,48.89,471.09,14.81,35626957,Yes,Weakest,Minimum,61.97%,0.87
PL,"Planet Labs Pbc","Satellite Communication",33.86,+0.09%,5,Buy,"100% Buy",+334.21,+809.89%,20.2,25.3,17.13,26.24,72.17,793.43,78.45,12144540,Yes,"Top 1%","Top 1%",83.92%,1.76
AAOI,"Applied Optoelect","Electronics - Semiconductors",98.71,+12.76%,7,Buy,"100% Buy",+332.58,+367.06%,46.14,62.28,40.06,93.28,55.68,350.6,177.3,6056427,Yes,Strongest,Maximum,23.13%,1.08
COHR,"Coherent Corp","Technology Services",255.39,+0.69%,4,Buy,"88% Buy",+320.57,+277.13%,198.26,230.84,167.49,258.07,53.4,260.67,43.01,4833968,Yes,Average,Maximum,45.77%,0.97
DNTH,"Dianthus Therapeutics Inc","Medical - Biomedical",79.28,+1.95%,9,Buy,"100% Buy",+302.58,+305.59%,48.62,57.16,43.31,69.75,68.42,289.13,95.4,719733,No,Strongest,Maximum,73.02%,0.82
NAUT,"Nautilus Biotechnology Inc","Medical - Biomedical",3.64,+20.13%,3,Buy,"100% Buy",+300.94,+263.64%,2.13,2.35,1.7,2.6,76.69,247.18,88.2,347773,No,"Top 1%","Top 1%",90.68%,3.78
IMMX,"Immix Biopharma Inc","Medical - Biomedical",8.79,-3.51%,7,Hold,"80% Buy",+298.65,+386.67%,6.08,7.41,4.84,9.34,49.05,370.21,71.08,630416,No,Average,Strong,32.10%,0.62
BE,"Bloom Energy Corp Cl A","Other Alt Energy",141.32,-5.86%,2,Hold,"64% Buy",+297.21,+496.08%,129.63,152.01,111.89,157.51,45.03,479.62,67.88,11950074,Yes,Weakest,Good,57.53%,0.85
FIX,"Comfort Systems USA","Building Prdcts - Air Heating",1409.07,+3.86%,2,Buy,"100% Buy",+296.41,+302.93%,1121.93,1281.42,1008.66,1402.91,55.6,286.47,55.61,459041,No,Strengthening,Maximum,76.29%,0.64
RLAY,"Relay Therapeutics Inc","Medical - Drugs",9.83,-0.81%,3,Buy,"88% Buy",+286.42,+222.55%,8.24,8.95,7.14,9.99,52.75,206.09,20.25,2108426,No,Average,Strong,35.67%,0.55
ONDS,"Ondas Inc","Wireless National",10.81,+7.46%,3,Hold,"64% Buy",+282.91,"+1,450.49%",9.52,10.89,8.69,10.36,53.37,1434.03,14.8,68452563,Yes,Average,Average,48.79%,0.83
ORKA,"Oruka Therapeutics Inc","Medical - Drugs",41.5,+6.66%,5,Buy,"100% Buy",+281.88,+240.83%,31.65,34.31,27.47,36.19,64.71,224.37,39.64,415060,No,Strongest,Maximum,72.12%,0.81
LPTH,"Lightpath Tech Inc","Electronics - Misc Components",11.44,+8.64%,2,Buy,"72% Buy",+277.05,+400.88%,9.94,11.53,8.88,11.31,51.01,384.42,9.32,1669825,No,Weakest,Strong,40.12%,0.5
TTMI,"TTM Technologies","Electronics - Misc Components",101.4,+10.77%,2,Sell,"88% Buy",+275.41,+347.58%,82.94,97.35,72.61,99.31,54.61,331.12,51.28,2369566,No,Strongest,Strong,44.97%,0.78
TYRA,"Tyra Biosciences Inc","Medical - Biomedical",36.5,-1.75%,10,Buy,"100% Buy",+273.21,+238.17%,26.61,32.28,22.07,35.35,57.48,221.71,41.08,500266,No,Average,Maximum,79.62%,0.64
SLS,"Sellas Life Sciences Group Inc","Medical - Biomedical",5.48,+15.13%,6,Buy,"100% Buy",+270.73,+349.58%,3.32,4.47,2.83,5.21,56.97,333.12,46.68,5247558,Yes,Strongest,Maximum,30.46%,1.09
PARR,"Par Pacific Holdings Inc","Oil - Refining and Marketing",57.2,-6.83%,12,Buy,"100% Buy",+266.69,+298.43%,42.09,43.39,39.7,49.73,66.38,281.97,65.83,1349948,No,Strengthening,Maximum,85.62%,1.47
TER,"Teradyne Inc","Electronics Products - Misc",303.95,+4.51%,3,Hold,"96% Buy",+262.78,+250.26%,234.89,282.16,199.41,305.41,54.32,233.8,61.93,3636522,Yes,Strongest,Strong,66.59%,0.55
STOK,"Stoke Therapeutics Inc","Medical - Biomedical",33.37,-0.42%,4,Hold,"80% Buy",+260.06,+317.67%,31.42,32.74,29.29,35.04,49.98,301.21,10.83,912507,No,Average,Average,35.90%,0.32
AEIS,"Advanced Energy","Semi-Eqpt Wafer Fabrication",329.7,+3.94%,3,Buy,"100% Buy",+252.03,+213.40%,252.28,292.41,224.45,320.03,59.25,196.94,61.14,506055,No,Strongest,Maximum,74.15%,0.55
FET,"Forum Energy Technologies Inc","Oil Field Machinery & Equip",59.01,+4.83%,2,Buy,"100% Buy",+251.85,+186.99%,41.99,50.81,36.88,57.76,60.21,170.53,62.96,144223,No,Strongest,Maximum,61.14%,0.8
AEHR,"Aehr Test Systems","Electronics - Measuring Inst",37.14,+7.59%,6,Buy,"88% Buy",+251.77,+321.35%,27.71,32.44,27.35,39.08,52.39,304.89,89.32,1486033,No,Strengthening,Strong,22.97%,0.94
OPTX,"Syntec Optics Holdings Inc","Technology Services",7.38,+11.14%,8,Buy,"100% Buy",+249.99,+402.40%,4.19,6.32,3.41,7.02,54.36,385.94,160.05,999041,No,"Top 1%",Maximum,39.10%,0.52
PRE,"Prenetics Global Limited Class A Ordinary Share","Medical - Biomedical",21.45,+9.33%,9,Buy,"100% Buy",+245.04,+419.33%,16.57,18.59,14.94,18.71,57.52,402.87,37.45,153289,No,Strongest,Maximum,74.64%,0.41
ISSC,"Innovative Solutions and Support","Aerospace - Defense Equipment",29.93,+4.43%,8,Buy,"100% Buy",+241.89,+352.71%,17.89,23.68,15.92,28.15,62.45,336.25,62.53,525368,No,"Top 1%","Top 1%",71.77%,0.9
SIF,"Sifco Industries","Aerospace - Defense Equipment",14.5,-0.82%,5,Buy,"100% Buy",+240.17,+440.54%,8.35,10.27,7.93,14.27,61.12,424.08,174.82,40400,No,Strongest,Maximum,72.27%,0.87
VRT,"Vertiv Holdings Llc.","IT Services",256.06,+0.07%,5,Buy,"88% Buy",+239.34,+191.58%,198.39,223.03,181.79,259.14,55.81,175.12,63.09,7424529,Yes,Average,Maximum,61.36%,0.75
BIOA,"Bioage Labs Inc","Medical - Biomedical",18.62,-3.52%,2,Sell,"56% Buy",+237.29,+315.81%,15.32,20.14,11.97,20.64,44.07,299.35,44.7,429657,No,Weakest,Good,36.02%,0.48
