Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
AXTI,"Axt Inc","Electronics - Semiconductors",106,+10.42%,10,Buy,"100% Buy","+3,084.44","+7,525.90%",38.72,57.98,28.41,73.51,70.74,7499.27,543.13,5801628,"Top 1%","Top 1%",87.73%,0.94,46.68,100.34,111%
SNDK,"Sandisk Corp","Computer - Storage Devices",1255.86,+5.80%,14,Buy,"100% Buy","+2,137.48","+3,550.76%",594.78,775.01,458.93,960.91,76.53,3524.13,423.86,12367927,"Top 1%","Top 1%",95.68%,1.01,709.65,1212.18,109%
LITE,"Lumentum Holdings","Communications Components",976.18,+2.76%,5,Buy,"100% Buy","+1,091.74","+1,452.94%",591.62,768.77,467.63,875.42,63.52,1426.31,159.65,4687476,"Top 1%","Top 1%",84.67%,0.85,791.35,959.5,110%
WDC,"Western Digital Corp","Computer - Storage Devices",442.36,+2.51%,15,Buy,"100% Buy",+879.27,+889.84%,272.64,320.2,229.18,380.73,78,863.21,151.59,8931071,"Top 1%","Top 1%",89.04%,1.2,312.17,449.3,95%
STX,"Seagate Technology Hldgs Plc","Computer - Integrated Systems",738.54,+1.60%,10,Buy,"100% Buy",+672.69,+693.53%,405.97,466.73,353.88,571.28,84.62,666.9,162.99,4153376,"Top 1%","Top 1%",94.56%,1.53,425.98,716.57,108%
CIEN,"Ciena Corp","Communications Components",538.51,+0.60%,9,Buy,"100% Buy",+654.38,+639.20%,335.45,420.16,284.09,497.62,65.54,612.57,125.07,2886582,Strongest,"Top 1%",89.85%,0.41,451.75,543.48,95%
MU,"Micron Technology","Computer - Integrated Systems",576.45,+6.31%,13,Buy,"100% Buy",+577.28,+614.14%,386.63,428.63,329.71,471.7,76.15,587.51,96.78,31121092,Strongest,"Top 1%",90.69%,1.08,374.66,568.74,104%
STRO,"Sutro Biopharma Inc","Medical - Biomedical",38.39,+7.87%,14,Buy,"100% Buy",+465.85,+249.00%,19.75,26.37,16.25,31.9,75.28,222.37,226.62,128297,"Top 1%","Top 1%",83.27%,1.25,23.94,39.85,91%
ANAB,"Anaptysbio Inc","Medical - Biomedical",69.78,+4.52%,11,Buy,"100% Buy",+400.17,+393.96%,38.82,45.34,33.83,53.44,76.79,367.33,110.71,815020,"Top 1%","Top 1%",84.77%,0.95,34.93,71.96,94%
COHR,"Coherent Corp","Technology Services",329.89,+0.12%,12,Buy,"100% Buy",+377.81,+360.48%,240.63,280.25,205.82,317.81,59.95,333.85,73.54,5299372,Strongest,Maximum,47.92%,0.85,269.79,365.83,63%
ICHR,"Ichor Holdings Ltd","Electronics - Semiconductors",69.72,+8.23%,11,Buy,"100% Buy",+367.89,+232.16%,40.74,53.32,33.36,63.37,65.53,205.53,273.11,925659,"Top 1%","Top 1%",52.76%,3.11,52.03,74.71,78%
CELC,"Celcuity Inc","Medical - Biomedical",144.98,+15.38%,9,Buy,"100% Buy",+362.05,"+1,230.09%",110.6,115.59,98.67,122.33,69.01,1203.46,40.17,1112838,Strongest,Maximum,78.91%,5.01,109.9,134.76,141%
FIX,"Comfort Systems USA","Building Prdcts - Air Heating",1891.95,+1.34%,15,Buy,"100% Buy",+328.54,+337.85%,1307.91,1515.34,1174.4,1685.82,71.55,311.22,97.53,468879,"Top 1%","Top 1%",95.56%,0.89,1460.86,1910.79,96%
EFXT,"Enerflex Ltd","Other Alt Energy",27.43,+0.99%,15,Buy,"100% Buy",+316.16,+305.77%,19.51,22.37,17.18,23.95,78.75,279.14,72.58,524104,Strongest,"Top 1%",93.87%,1.19,19.76,28.14,92%
NEWP,"New Pacific Metals Corp","Mining - Misc",5.76,+2.31%,9,Buy,"100% Buy",+298.08,+414.29%,4.22,4.76,3.64,5.22,67.89,387.66,58.91,824174,"Top 1%",Maximum,74.73%,1.91,4.46,5.97,86%
NBR,"Nabors Industries","Oil & Gas - Drilling",103.71,+2.71%,8,Buy,"100% Buy",+288.07,+260.86%,72.82,83.58,64.2,88.01,72.24,234.23,85.8,418757,Strongest,"Top 1%",90.41%,0.84,71.25,104.76,97%
