Symbol,Name,Latest,"SIC Description",Industry,Previous,Trend,"20D Avg Vol","52W %/High","20D MA","50D MA","100D MA","1M %Chg","Market Cap","Prev Open","9D His Vol"
ADI,"Analog Devices",418.58,"SIC-3674 Semiconductors & Related Devices","Semi Analog & Mixed",417.49,Buy,3497100,-3.93%,405.27,358.44,336.61,+12.69%,203820288000,415.18,29.20%
AESI,"Atlas Energy Solutions Inc Cl A",19.45,"SIC-1311 Crude Petroleum & Natural Gas","Oil - US Integrated",18.87,Buy,5201360,-2.56%,17.69,14.75,12.82,+46.35%,2356976000,18.59,39.99%
AGL,"Agilon Health Inc",86.8,"SIC-8090 Services-Misc Health & Allied Services, NEC","Medical Services",81.73,Buy,623900,-4.07%,44.43,27.37,22.5,+188.85%,1363584000,78.67,363.47%
AMBQ,"Ambiq Micro Inc",71.34,"SIC-3674 Semiconductors & Related Devices","Electronics - Semiconductors",70.57,Buy,704585,-3.23%,46.27,35.23,33.15,+105.24%,1508504000,69.69,193.30%
ANDG,"Andersen Group Inc Cl A",37.3,"SIC-7389 Services-Business Services, NEC","Finance - Misc Services",35.1,Buy,242020,-5.67%,35.4,30.8,26.8,+11.28%,3912842000,35.21,36.48%
ARM,"Arm Holdings Plc ADR",215.12,"SIC-3674 Semiconductors & Related Devices","Electronics - Semiconductors",209.16,Buy,11663300,-10.18%,210.99,169.83,143.14,+29.02%,220980480000,214.79,107.89%
ASC,"Ardmore Shipping Corp",19.27,"SIC-4412 Deep Sea Foreign Transportation of Freight","Transportation - Ship",18.93,Buy,748275,-3.77%,18.05,16.34,14.65,+21.27%,771038000,18.64,26.08%
AVR,"Anteris Technologies Global Corp",7.57,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances","Medical Instruments",7.24,Buy,756795,-0.39%,6.29,5.99,5.83,+24.71%,704756000,7.14,52.48%
BAND,"Bandwidth Inc",55.95,"SIC-7372 Services-Prepackaged Software","Communications Infrastructure",53.97,Buy,1307330,-1.27%,39.9,26.35,20.29,+143.16%,1727957000,51.13,29.96%
BB,"Blackberry Ltd",6.38,"SIC-7372 Services-Prepackaged Software","Internet - Software",6.19,Buy,24016365,-3.92%,5.75,4.47,4.06,+31.28%,3636514000,6.07,42.27%
BKR,"Baker Hughes Company",66.21,"SIC-3533 Oil & Gas Field Machinery & Equipment","Oil - Field Services",64.12,Buy,8344170,-5.97%,66.05,62.64,59.16,+10.75%,63611464000,64.61,33.52%
BKSY,"Blacksky Technology Inc",43,"SIC-3663 Radio & Tv Broadcasting & Communications Equ","Technology Services",38.75,Buy,2334510,-3.80%,37.54,32.29,27.65,+14.45%,1437974000,40.8,188.82%
BLBD,"Blue Bird Corp",72.74,"SIC-3713 Truck & Bus Bodies","Auto - Domestic",71.87,Buy,505325,-10.76%,66.51,61.13,57.16,+17.78%,2274469000,71.41,43.61%
BORR,"Borr Drilling Ltd",6.61,"SIC-1381 Drilling Oil & Gas Wells","Oil & Gas - Drilling",6.26,Buy,6694885,-0.68%,5.98,5.7,5.31,+18.67%,1974404000,6.21,42.33%
BTE,"Baytex Energy Corp",5.29,"SIC-1381 Drilling Oil & Gas Wells","Oil - C$ Exploration & Product",5.17,Buy,21672744,-0.94%,4.9,4.47,3.97,+30.30%,3777000000,5,41.16%
BWLP,"Bw Lpg Ltd",21.14,"SIC-4700 Transportation Services","Transportation - Ship",21.06,Buy,378215,-1.26%,19.84,18.01,16.7,+14.09%,3187284000,20.45,36.11%
CBOE,"CBOE Global Markets",366.28,"SIC-6200 Security & Commodity Brokers, Dealers, Excha","Securities Exchanges",363.02,Buy,939145,-1.09%,330.62,306.55,289.93,+22.12%,38023436000,362.02,27.27%
CBT,"Cabot Corp",81.93,"SIC-2890 Miscellaneous Chemical Products","Chemical - Diversified",81,Buy,389545,-5.21%,79.49,75.18,73.87,+10.08%,4181300000,80.86,39.59%
CEVA,"Ceva Inc",36.59,"SIC-7370 Services-Computer Programming, Data Processi","Internet - Software",36.51,Buy,1051635,-8.39%,31.97,24.66,23.24,+56.23%,1017132000,36.13,57.79%
CHRD,"Chord Energy Corp",149.56,"SIC-1311 Crude Petroleum & Natural Gas","Oil - US Exploration & Product",148.39,Buy,711045,-1.57%,141.56,136.43,117.78,+21.02%,8354207000,143.82,42.49%
