Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D RSI","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
TXG,"10X Genomics Inc","Medical Information Systems",70.11,+2.22%,10,Buy,"100% Buy",+502.18,+454.67%,40.64,53.83,34.04,63.59,70.37,438.94,318.55,2762102,"Top 1%","Top 1%",90.84%,1.14,56.98,70.21,99%
TWST,"Twist Bioscience Corp","Medical - Biomedical",134.75,+5.92%,6,Buy,"88% Buy",+341.40,+432.40%,91.67,113.71,77.5,134.97,56.49,416.67,313.5,1481225,Strongest,Maximum,26.71%,1.16,115.04,154.91,49%
IOVA,"Iovance Biotherapeutics Inc","Medical - Biomedical",9.26,+7.67%,5,Buy,"100% Buy",+219.34,+307.93%,5.1,6.34,4.62,8.3,68.82,292.2,227.88,14903325,"Top 1%","Top 1%",65.30%,1.26,7.24,9.35,96%
CDNA,"Caredx Inc","Medical Services",52.37,+4.20%,5,Buy,"100% Buy",+208.44,+287.07%,32.91,42.87,28.07,49.42,68.24,271.34,166.66,854780,Strongest,Maximum,61.54%,0.68,45.81,53.04,91%
ECO,"Okeanis Eco Tankers Corp","Transportation - Ship",79.72,+4.69%,14,Buy,"100% Buy",+185.64,+172.45%,57.28,61.98,54.38,67.93,79.29,156.72,124.27,466910,"Top 1%","Top 1%",97.09%,2.16,58.77,77.09,114%
MRNA,"Moderna Inc","Medical - Biomedical",146.69,+1.89%,2,Buy,"100% Buy",+173.73,+523.95%,72.51,92.38,65.3,137.57,62.24,508.22,386.11,11371674,"Top 1%",Maximum,39.42%,0.63,85.12,190.03,59%
ANDG,"Andersen Group Inc Cl A","Finance - Misc Services",56.4,+5.13%,11,Buy,N/A,+155.60,N/A,42.44,48.3,36.86,53.04,62.91,N/A,106.2,N/A,N/A,N/A,61.87%,0.73,46,60.07,74%
RNG,"Ringcentral Inc","Internet Software Services",72.32,+4.93%,11,Buy,"100% Buy",+149.65,+138.21%,49.46,57.91,45.1,68.86,64.17,122.48,139.11,1926208,Strongest,Maximum,47.45%,1.03,62.69,75.03,78%
NAT,"Nordic American Tanker Shipping Ltd","Transportation - Ship",7.63,+2.28%,8,Buy,"100% Buy",+138.28,+141.46%,6.09,6.59,5.87,7.03,71.11,125.73,110.49,3991046,"Top 1%",Maximum,92.30%,1.89,6.53,7.52,111%
MPC,"Marathon Petroleum","Oil - Refining and Marketing",396.45,+0.13%,13,Buy,"100% Buy",+138.10,+119.91%,293.42,335.61,269.31,375.9,74.61,104.18,132.46,2411320,Strengthening,"Top 1%",78.44%,1.54,344.9,406.91,83%
FRO,"Frontline Plc","Transportation - Ship",50.52,+2.66%,12,Buy,"100% Buy",+127.94,+117.48%,39.09,41.12,37.45,45.05,77.93,101.75,120.22,3184776,"Top 1%",Maximum,96.30%,1.77,40.47,49.64,110%
