Symbol,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol","Wkly Opts",Direction,Strength,"14D Stoch %K","50D RelVol"
STTK,"Medical - Biomedical",5.95,-1.16%,11,Buy,"100% Buy",+151.80,+411.96%,3.49,4.48,2.9,4.93,73.79,393.55,65.94,1024993,No,Strengthening,"Top 1%",89.39%,0.35
AA,"Metal Products - Distribution",65.41,-1.79%,5,Buy,"100% Buy",+125.67,+88.46%,52.25,61.79,45.84,62.6,57.25,70.05,25.21,6713868,Yes,Strengthening,Strong,73.25%,0.53
TALK,"Medical Information Systems",5.14,-0.10%,4,Buy,"100% Buy",+83.54,+79.55%,3.79,4.3,3.42,4.87,66.75,61.14,43.29,1961636,No,Strengthening,"Top 1%",93.17%,2.97
COCO,"Beverages - Soft",58.1,-4.13%,7,Buy,"100% Buy",+74.32,+66.17%,51.89,55.12,47.49,55.23,56.83,47.76,12.36,867297,No,Average,Strong,84.87%,0.65
ROST,"Retail - Discount",209.19,+0.59%,5,Buy,"100% Buy",+72.71,+66.64%,184,196.87,172.71,206.33,59.14,48.23,17.96,2732582,Yes,Strongest,Maximum,60.46%,0.45
OBE,"Oil - C$ Exploration & Product",8.55,+0.59%,7,Buy,"100% Buy",+71.71,+56.32%,6.69,7.4,6.51,8.14,62.68,37.91,41.06,398985,No,Strengthening,"Top 1%",76.73%,1.91
AM,"Oil - US Integrated",22.93,+0.22%,12,Buy,"100% Buy",+37.45,+31.41%,19.02,20.22,18.82,22.46,67.82,13,30.58,2631516,No,Strengthening,Maximum,75.08%,0.49
DRS,"Aerospace - Defense Equipment",45.72,+0.93%,8,Buy,"88% Buy",+35.78,+36.96%,38.4,41.73,39.68,44.21,57.92,18.55,34.93,1194341,No,Strengthening,Good,64.52%,0.3
VZ,"Wireless National",50.53,-0.86%,7,Buy,"100% Buy",+22.87,+16.04%,43.02,45.68,43.05,50.18,63.42,-2.37,26.19,24821340,Yes,Average,Maximum,76.21%,0.5
NFG,"Oil - US Integrated",93.46,-1.22%,11,Buy,"88% Buy",+22.20,+21.73%,83.55,86.1,84.91,91.33,62.81,3.32,18.95,641159,No,Strengthening,Strong,78.79%,0.52
SBRA,"REIT - Equity Trust Other",20.75,-0.77%,3,Buy,"100% Buy",+21.42,+17.42%,19.2,19.69,19.02,20.48,57.75,-0.99,11.07,2711938,No,Strengthening,Maximum,71.55%,0.52
NJR,"Utility - Gas Distribution",54.22,-1.24%,5,Buy,"100% Buy",+18.17,+10.38%,48.72,51.31,48.11,54.13,58.12,-8.03,19.67,586919,No,Average,Maximum,71.65%,0.35
LNG,"Oil - US Exploration & Product",251.56,+0.11%,8,Buy,"72% Buy",+17.22,+13.18%,212.44,220.54,219.45,240.72,67.82,-5.23,31.38,1977411,Yes,Average,Strong,82.62%,0.34
ARLP,Coal,27.28,-0.58%,6,Buy,"88% Buy",+9.76,+10.04%,24.74,25.47,24.49,26.87,65.38,-8.37,19.82,343621,No,Strengthening,Strong,72.69%,0.38
BSM,"E&P MLP",15.34,-0.58%,9,Buy,"100% Buy",+8.48,+1.46%,14.23,14.78,13.7,15.16,55.43,-16.95,17.1,465346,No,Average,Maximum,85.75%,0.93
MNR,"Oil - US Exploration & Product",13.46,-2.39%,4,Buy,"56% Buy",-5.19,-9.70%,12.06,12.32,12.51,13.32,58.95,-28.11,24.11,349635,No,Weakening,Average,83.69%,0.74
"Downloaded from Barchart.com as of 03-17-2026 03:03pm CDT"
