Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol","Wkly Opts",Direction,Strength,"14D Stoch %K","50D RelVol"
XWIN,"Xmax Inc",Furniture,7.16,-0.97%,9,Buy,"100% Buy",+161.14,+917.62%,5.98,6.23,5.56,6.51,78.27,905.75,26.29,847412,No,Average,Good,83.87%,2.07
TEN,"Tsakos Energy Navigation Ltd","Transportation - Ship",38.14,-0.08%,4,Buy,"100% Buy",+145.61,+125.68%,27.75,31.51,25.96,36.46,63.75,113.81,77.08,375076,No,Strengthening,"Top 1%",75.45%,0.86
SCHL,"Scholastic Corp","Publishing - Books",38.74,-0.72%,6,Buy,"100% Buy",+106.34,+107.72%,32.05,34.73,30.49,35.6,69.58,95.85,37.71,353797,No,Average,Maximum,90.07%,0.92
XPRO,"Expro Group Hldgs N.V.","Oil - Production & Pipeline",17.91,+0.51%,2,Buy,"100% Buy",+93.53,+69.92%,15.32,16.72,14.41,17.02,58.64,58.05,41.12,1201296,No,Average,Maximum,77.54%,1.11
ETON,"Eton Pharmaceutcials Inc","Medical - Biomedical",23.24,-0.90%,8,Buy,"88% Buy",+85.83,+72.02%,17.06,17.49,17.61,19.73,72.4,60.15,44.39,342151,No,Strengthening,Strong,88.24%,0.98
KGS,"Kodiak Gas Services Inc","Oil Field Machinery & Equip",58.47,-0.46%,6,Buy,"100% Buy",+82.91,+55.92%,42.99,50.36,40.33,56.79,64.59,44.05,63.3,1594374,No,Strengthening,Maximum,79.76%,0.61
NYT,"New York Times Company","Publishing - Newspapers",82.79,-0.20%,7,Buy,"100% Buy",+74.21,+69.03%,71.28,76.21,66.66,81.05,61.95,57.16,26.22,1940737,No,Average,"Top 1%",75.13%,0.6
HP,"Helmerich & Payne","Oil & Gas - Drilling",36.15,-2.17%,6,Buy,"100% Buy",+72.58,+40.44%,31.56,34.6,28.47,35.39,54.76,28.57,33.01,1811401,No,Weakening,Strong,70.18%,1.01
ROST,"Ross Stores Inc","Retail - Discount",211.69,-1.22%,3,Buy,"100% Buy",+72.49,+63.99%,188.33,200.49,176.19,210.56,57.13,52.12,24.47,2746868,Yes,Average,Maximum,73.56%,0.96
SWBI,"Smith & Wesson Brands Inc","Leisure & Recreational Prdcts",14.66,-1.28%,6,Buy,"100% Buy",+68.66,+54.32%,11,12.37,10.48,13.8,69.57,42.45,55.49,779674,No,Strengthening,"Top 1%",71.32%,0.81
UTHR,"United Therapeutic","Medical - Drugs",522.83,-1.82%,4,Buy,"100% Buy",+59.19,+69.74%,489.39,495.92,463,522.52,52.6,57.87,14.26,588292,No,Average,Strong,58.30%,0.73
NTCT,"Netscout Systems","Computer - Networks",31.86,-2.27%,10,Buy,"100% Buy",+54.34,+46.55%,28.29,29.24,27.45,30.6,62.79,34.68,24.7,581303,No,Strengthening,Maximum,85.07%,0.97
LOCO,"El Pollo Loco","Retail - Restaurants",13.81,-2.20%,9,Buy,"100% Buy",+44.83,+27.99%,11.15,11.48,10.73,12.63,69.1,16.12,38.99,281329,No,Strengthening,Maximum,89.07%,1.67
JHG,"Janus Henderson Group Plc","Finance - Investment Mgmt",51.38,-0.02%,2,Buy,"100% Buy",+44.53,+38.60%,47.46,49.73,46.35,51.16,56.2,26.73,14.97,1774242,No,Weakening,Strong,55.74%,1.03
KEX,"Kirby Corp","Transportation - Ship",134.12,-1.49%,3,Buy,"100% Buy",+41.88,+30.35%,119.71,127.31,109.13,129.91,60.47,18.48,28.69,811873,No,Average,Maximum,86.52%,0.75
AM,"Antero Midstream Corp","Oil - US Integrated",23.19,-1.53%,9,Buy,"100% Buy",+38.54,+29.48%,19.46,21.13,19.1,22.98,61.19,17.61,37.31,2657660,No,Average,Maximum,78.02%,0.94
CIG,"Comp En DE MN Cemig ADR","Utility - Electric Power",2.35,-0.42%,6,Buy,"100% Buy",+32.54,+31.28%,2.15,2.23,2.11,2.27,56.85,19.41,24.46,3682115,No,Average,Maximum,75.61%,0.7
CTLP,"Cantalope Inc","Financial Transaction Services",10.6,-0.56%,2,Sell,"56% Sell",+29.91,+35.55%,10.58,10.53,10.61,10.5,54.65,23.68,6.77,1484326,No,Strengthening,Weak,80.04%,0.64
NFBK,"Northfield Bncrp Del","Finance - Savings & Loan",13.38,-0.15%,4,Hold,"96% Buy",+25.99,+19.04%,12.15,13.12,11.91,13.27,54.43,7.17,24.02,234667,No,Average,Strong,61.19%,0.74
VIRT,"Virtu Financial Cm A","Finance - Misc Services",42.52,-2.12%,3,Buy,"88% Buy",+16.53,+12.76%,37.06,39.76,36.72,41.26,59.19,0.89,34.57,1011260,No,Average,Strong,81.98%,0.5
PFE,"Pfizer Inc","Large Cap Pharma",27.04,-1.92%,3,Buy,"100% Buy",+10.83,+8.12%,26.03,26.81,25.62,27.01,50.49,-3.75,15.55,51662727,Yes,Average,Strong,65.46%,0.63
MASI,"Masimo Corp","Medical Instruments",177.11,+0.12%,6,Buy,"88% Buy",+1.69,+5.13%,150.03,160.13,148.35,176.4,69.68,-6.74,43.14,996258,No,Average,Strong,55.46%,0.59
HESM,"Hess Midstream Partners LP","E&P MLP",39.79,-0.62%,5,Buy,"88% Buy",+1.28,-6.09%,35.67,37.51,35.89,39.44,61.71,-17.96,22.29,1558782,No,Average,Average,60.25%,0.74
POWI,"Power Integratn","Semi Power",49.5,-1.10%,3,Buy,"88% Buy",-3.34,-9.26%,41.62,46.77,42.1,47.77,56.21,-21.13,46.24,907672,No,Average,Good,79.47%,0.72
IAC,"Iac Inc","Conglomerates - Div Operations",38.85,-2.58%,9,Buy,"100% Buy",-4.33,-20.49%,37.09,37.59,36.32,38.14,55.19,-32.36,6.32,1160231,No,Average,Average,82.82%,1.15
"Downloaded from Barchart.com as of 03-27-2026 03:58pm CDT"
