Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol","Wkly Opts",Direction,Strength,"14D Stoch %K","50D RelVol"
TERN,"Terns Pharmaceuticals Inc","Medical - Biomedical",52.79,+0.13%,14,Buy,"100% Buy",+821.68,"+1,962.11%",37.99,42.23,28.1,48.34,75.64,1945.38,34.62,2944170,No,Strengthening,Strong,95.70%,1.78
NE,"Noble Corp Plc","Oil & Gas - Drilling",48.5,-1.16%,5,Buy,"100% Buy",+164.93,+98.28%,36.78,43.42,34.23,47.27,59.93,81.55,75.69,2164786,No,Average,Maximum,66.46%,0.71
SDRL,"Seadrill 2021 Ltd","Oil & Gas - Drilling",44.56,-2.07%,8,Buy,"100% Buy",+125.16,+73.99%,37.26,42.34,35.35,44.05,54.2,57.26,32.74,894875,No,Average,Maximum,69.26%,0.67
CC,"Chemours Company","Chemical - Diversified",21.52,-2.32%,9,Buy,"100% Buy",+111.07,+66.05%,15.43,18.26,15.29,19.07,63.79,49.32,86.48,3483283,Yes,Strongest,Maximum,84.78%,0.87
SCHL,"Scholastic Corp","Publishing - Books",38.77,-0.74%,6,Buy,"100% Buy",+108.06,+105.79%,32.36,35.02,30.75,36.27,68.05,89.06,34.8,358852,No,Strengthening,Maximum,89.17%,1
E,"Eni S.P.A. ADR","Oil - International Integrated",54.88,-3.06%,12,Buy,"100% Buy",+107.41,+75.84%,42.16,46.65,39.9,52.29,66.71,59.11,48.6,316220,No,Strengthening,"Top 1%",79.26%,1.78
SU,"Suncor Energy Inc","Oil - C$ Integrated",64.94,-1.77%,13,Buy,"100% Buy",+107.09,+66.30%,51.04,57.41,47.62,61.92,69.83,49.57,50.34,4565109,Yes,Strengthening,"Top 1%",77.83%,1.31
IMO,"Imperial Oil Ltd","Oil - C$ Integrated",128.96,-1.42%,9,Buy,"100% Buy",+105.64,+76.92%,104.9,117.26,99.95,124.89,63.2,60.19,53.36,554599,No,Strengthening,Maximum,76.65%,1.01
KGS,"Kodiak Gas Services Inc","Oil Field Machinery & Equip",57.9,-0.72%,6,Buy,"100% Buy",+102.43,+53.87%,43.65,51.57,40.79,56.84,60.13,37.14,58.76,1605509,No,Average,Maximum,65.94%,0.81
TS,"Tenaris S.A. ADR","Steel - Pipe & Tube",57.92,-0.45%,8,Buy,"100% Buy",+89.48,+46.78%,45.8,51.46,42.54,55.56,66.45,30.05,54.59,1550882,No,Strengthening,Maximum,78.12%,1.07
DOW,"Dow Inc","Chemical - Diversified",40.69,-2.30%,14,Buy,"100% Buy",+70.79,+17.57%,28.49,33.2,26.8,37.35,68.23,0.84,77.99,14011362,Yes,Strengthening,"Top 1%",83.08%,1.46
BP,"BP Plc ADR","Oil - International Integrated",46.17,-1.77%,13,Buy,"100% Buy",+70.17,+36.56%,37.9,40.33,36.75,43.79,65.86,19.83,36.89,9664990,Yes,Strengthening,"Top 1%",80.92%,2.53
GLNG,"Golar Lng Ltd","Oil - International Integrated",53.65,-0.85%,8,Buy,"100% Buy",+69.80,+44.80%,41.69,45.58,41.26,49.57,66.55,28.07,48.13,1505757,No,Strengthening,"Top 1%",85.64%,0.72
TTE,"Totalenergies Se ADR","Oil - Refining and Marketing",89.78,-1.32%,8,Buy,"100% Buy",+67.66,+39.22%,72.22,79.36,68.52,85.78,69.37,22.49,41.19,1517260,No,Strengthening,"Top 1%",80.02%,1.34
TRGP,"Targa Resources","Oil Refining & Marketing MLP",244.79,-2.37%,3,Buy,"100% Buy",+63.87,+20.54%,201.96,226.13,188.31,241.24,58.41,3.81,36.63,1514691,No,Average,Maximum,73.00%,1.26
LOCO,"El Pollo Loco","Retail - Restaurants",13.88,+0.14%,9,Buy,"100% Buy",+57.67,+33.21%,11.25,11.64,10.8,13.03,69.72,16.48,36.65,279384,No,Strongest,Maximum,78.72%,0.65
SHEL,"Shell Plc ADR","Oil - International Integrated",92.03,-1.04%,10,Buy,"100% Buy",+48.80,+25.98%,78.2,82.9,76.46,89.81,67.68,9.25,29.19,5109117,Yes,Strengthening,"Top 1%",71.16%,2.09
PAGP,"Plains Gp Holdings LP","Oil - Production & Pipeline",23.72,-2.31%,9,Buy,"100% Buy",+35.19,+10.48%,20.55,22.34,19.71,23.7,56.35,-6.25,27.88,1589814,No,Average,Maximum,67.45%,0.99
