Symbol,Name,Latest,"SIC Description",Industry,"5D MA","20D MA","50D MA","50D Avg Vol","6M %/High","9D His Vol"
KEX,"Kirby Corp",142.09,"SIC-4400 Water Transportation","Transportation - Ship",142.52,137.73,131.23,698704,-1.86%,14.72%
RTO,"Rentokil Initial Plc ADR",33.87,"SIC-7342 Disinfecting and Pest Control Services Disin","Business Services",33.95,32.47,31.85,1535598,-2.29%,27.28%
ELPC,"Companhia Paranaense DE Energia [Copel] ADR",13.33,N/A,"Utility - Electric Power",13.43,12.42,11.63,399042,-2.34%,26.26%
CNI,"Canadian National Railway",110.29,"SIC-4011 Railroads, Line-Haul Operating","Transportation - Rail",110.42,105.37,106.34,1748030,-2.47%,18.49%
ASND,"Ascendis Pharma ADR",244.48,"SIC-2834 Pharmaceutical Preparations","Medical - Biomedical",245.51,230.37,229.78,672272,-2.50%,44.69%
SWX,"Southwest Gas Corp",90.99,"SIC-4923 Natural Gas Transmission & Distribution","Utility - Gas Distribution",91.23,88.82,87.74,664106,-2.62%,17.82%
PPL,"PPL Corp",39.02,"SIC-4911 Electric Services","Utility - Electric Power",39.37,38.46,37.96,9083492,-2.71%,10.97%
WELL,"Welltower Inc",210.52,"SIC-6798 Real Estate Investment Trusts","REIT - Equity Trust Other",210.86,202.26,204.95,3146902,-2.73%,16.71%
AEIS,"Advanced Energy",375.6,"SIC-3679 Electronic Components, NEC","Semi-Eqpt Wafer Fabrication",377.36,346.79,326.62,649270,-2.76%,42.40%
VOD,"Vodafone Grp Plc ADR",15.48,"SIC-4812 Radiotelephone Communications","Wireless Non-US",15.61,15.16,15.11,4455928,-2.86%,19.24%
AEP,"American Electric Power Company",133.66,"SIC-4911 Electric Services","Utility - Electric Power",134.51,132.11,130.68,3467762,-2.96%,15.82%
NVRI,"Enviri Corporation",19.39,"SIC-8900 Services-Services, NEC","Waste Removal Svcs",19.44,19.22,18.79,1394382,-2.98%,17.28%
VIRT,"Virtu Financial Cm A",50.65,"SIC-6211 Security Brokers, Dealers & Flotation Compan","Finance - Misc Services",50.79,46.56,42.61,1187790,-2.99%,29.83%
ATO,"Atmos Energy Corp",186.54,"SIC-4924 Natural Gas Distribution","Utility - Gas Distribution",187.34,186.04,183.61,1107766,-3.10%,14.73%
WEC,"Wisconsin Energy Corp",115.87,"SIC-4931 Electric & Other Services Combined","Utility - Electric Power",115.99,115.53,115.27,2120108,-3.13%,14.97%
SR,"Spire Inc",92.31,"SIC-4924 Natural Gas Distribution","Utility - Gas Distribution",92.58,91.96,91,374106,-3.15%,20.07%
MDU,"Mdu Res Group Inc",21.76,"SIC-1400 Mining & Quarrying of Nonmetallic Minerals","Utility - Gas Distribution",21.86,21.24,20.85,1821682,-3.16%,23.39%
CBOE,"CBOE Global Markets Inc",299.94,"SIC-6200 Security & Commodity Brokers, Dealers, Excha","Securities Exchanges",303.07,290.29,288.82,897580,-3.20%,21.43%
CMS,"Cms Energy Corp",77.75,"SIC-4931 Electric & Other Services Combined","Utility - Electric Power",78.12,77.47,76.78,3044944,-3.25%,15.01%
UGP,"Ultrapar Participacoes S.A. ADR",5.93,"SIC-4924 Natural Gas Distribution","Oil - Production & Pipeline",6.02,5.63,5.31,2978686,-3.34%,31.24%
TS,"Tenaris S.A. ADR",58.61,"SIC-3312 Steel Works, Blast Furnaces & Rolling Mills","Steel - Pipe & Tube",58.91,58.25,54.55,2058380,-3.35%,20.07%
DNTH,"Dianthus Therapeutics Inc",93.26,"SIC-2834 Pharmaceutical Preparations","Medical - Biomedical",93.37,86.01,71.06,1073008,-3.36%,39.87%
CNK,"Cinemark Holdings Inc",30.01,"SIC-7830 Services-Motion Picture Theaters","Movie & TV Production & Dist",30.15,29.1,27.53,2299126,-3.44%,24.64%
NJR,"Newjersey Resources Corp",55.68,"SIC-4924 Natural Gas Distribution","Utility - Gas Distribution",55.93,55.48,54.47,538066,-3.50%,14.97%
AGX,"Argan Inc",597.88,"SIC-1700 Construction - Special Trade Contractors","Building & Construction - Misc",601.7,548.06,479.41,500184,-3.57%,29.83%
CIG,"Comp En DE MN Cemig ADR",2.66,"SIC-4911 Electric Services","Utility - Electric Power",2.67,2.5,2.35,6965660,-3.62%,29.18%
STZ,"Constellation Brands Inc",162.28,"SIC-2080 Beverages","Beverages - Alcohol",163.92,155.98,155.47,2168746,-3.75%,46.29%
AROC,"Archrock Inc",36.3,"SIC-4922 Natural Gas Transmission","Oil - Field Services",36.32,35.73,34.9,1722686,-3.78%,10.01%
CELC,"Celcuity Inc",122.46,"SIC-8071 Services-Medical Laboratories","Medical - Biomedical",122.49,114.74,111.62,697246,-3.83%,51.45%
BEP,"Brookfield Renewable",34.59,"SIC-4911 Electric Services","Utility - Electric Power",34.77,33.09,31.93,754698,-3.84%,30.69%
FCN,"Fti Consulting",179.5,"SIC-8742 Services-Management Consulting Services",Consulting,179.97,177.35,169.85,463890,-3.85%,22.44%
CC,"Chemours Company",23.18,"SIC-2800 Chemicals & Allied Products","Chemical - Diversified",23.2,21.64,19.72,3538978,-3.94%,41.99%
CGEN,"Compugen Ltd",2.82,"SIC-2836 Biological Products, (No Diagnostic Substanc","Medical - Biomedical",2.85,2.35,2.1,337016,-4.08%,51.88%
MRX,"Marex Group Plc",51.52,"SIC-6200 Security & Commodity Brokers, Dealers, Excha","Finance - Misc Services",52.12,45.49,41.88,1078368,-4.11%,33.26%
ECVT,"Pq Group Holdings Inc",13.78,"SIC-2800 Chemicals & Allied Products","Chemical - Specialty",14.14,13.22,12.15,2268580,-4.53%,42.35%
SNDK,"Sandisk Corp",920.99,"SIC-3572 Computer Storage Devices","Computer - Storage Devices",925.83,758.13,679.48,19190270,-4.56%,84.41%
TIMB,"Tim S.A. ADR",26.83,"SIC-4813 Telephone Communications (No Radiotelephone)","Wireless Non-US",27.08,26.42,26.17,439800,-4.93%,31.64%
DTE,"Dte Energy Company",146.98,"SIC-4911 Electric Services","Utility - Electric Power",147.19,146.41,145.71,1311950,-4.95%,12.73%
EFXT,"Enerflex Ltd",22.88,"SIC-3560 General Industrial Machinery & Equipment","Other Alt Energy",22.92,21.43,20.84,671274,-4.98%,25.26%
"Downloaded from Barchart.com as of 04-18-2026 01:46am CDT"
