Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
TIGO,"Millicom International Cellular S.A.","Wireless Non-US",95.58,+0.93%,8,Buy,"100% Buy",+138.38,+140.15%,82.16,87.53,74.12,91.82,58.5,119.87,62.35,1298597,Strengthening,Maximum,74.46%,0.72,84.2,99.45,75%
RSI,"Rush Street Interactive Inc",Gaming,32.8,-0.39%,12,Buy,"100% Buy",+124.45,+123.74%,25.49,29.02,23.15,31.49,61.49,103.46,58.76,1989548,Strengthening,Maximum,72.74%,0.61,28.3,34.69,70%
NVRI,"Enviri Corporation","Waste Removal Svcs",22.8,+0.09%,6,Buy,"100% Buy",+119.54,+149.73%,19.83,20.81,19.4,22.33,57.09,129.45,17.18,1445892,Strengthening,Strong,74.16%,0.5,20.93,23.72,67%
OII,"Oceaneering International","Oil - Field Services",42.3,-0.84%,9,Buy,"100% Buy",+106.82,+106.54%,37.51,38.81,34.41,39.59,61.19,86.26,65.98,1038433,Strengthening,Strong,79.95%,0.85,34.71,44.47,78%
XMTR,"Xometry Inc Cl A","Machinery - General Industrial",96.42,-2.29%,6,Buy,"100% Buy",+99.60,+177.55%,65.96,88.27,64.65,93.9,59.4,157.27,52.08,867664,Strengthening,Maximum,78.32%,0.53,88.8,99,75%
VMD,"Viemed Healthcare Inc","Medical Products",12.09,+1.77%,10,Buy,"100% Buy",+99.48,+80.72%,9.91,10.49,9.15,11.67,66.84,60.44,52.67,231236,Strongest,"Top 1%",57.50%,1.46,10.58,12.76,69%
MFG,"Mizuho Financial Group ADR","Banks - Foreign",10.32,-3.19%,5,Buy,"100% Buy",+82.94,+86.96%,8.89,9.51,8.7,10.08,58.81,66.68,30.93,3886030,Strengthening,Strong,79.42%,0.86,9.36,10.8,66%
SMFG,"Sumitomo Mitsui Financial Group ADR","Banks - Foreign",25.85,-2.45%,8,Buy,"100% Buy",+78.11,+77.05%,22.07,23.53,21.65,24.89,63.68,56.77,23.68,2158053,Average,Maximum,85.49%,0.86,23.01,26.76,76%
BAP,"Credicorp Ltd","Banks - Foreign",387.44,-2.70%,5,Buy,"100% Buy",+68.85,+75.66%,345.47,356,336.61,386.63,55.36,55.38,24.95,414542,Strengthening,Strong,64.24%,0.74,372.4,400.87,53%
MUFG,"Mitsubishi Ufj Financial Group ADR","Banks - Foreign",22.13,-2.81%,8,Buy,"100% Buy",+68.47,+65.77%,18.71,19.89,18.29,20.97,66.08,45.49,29.48,3526354,Strengthening,"Top 1%",88.76%,1.15,19.24,22.7,84%
LOCO,"El Pollo Loco","Retail - Restaurants",16.55,+0.61%,6,Buy,"100% Buy",+67.77,+56.43%,14.04,15.04,12.97,16.39,59.24,36.15,48.17,294864,Strengthening,Maximum,46.88%,0.51,15.51,17.26,59%
HG,"Hamilton Insurance Group Ltd Cl B","Insurance - Multi Line",34.47,+2.28%,12,Buy,"100% Buy",+60.61,+62.82%,31.23,31.93,30.17,33.6,59.49,42.54,13.5,490111,Strengthening,Maximum,70.15%,0.85,31.36,35.84,69%
IFS,"Intercorp Financial Services Inc","Finance - Misc Services",58.73,-2.23%,7,Buy,"100% Buy",+59.30,+58.99%,50.01,52.38,48.61,57.72,59.16,38.71,28.59,255732,Strengthening,Maximum,73.87%,0.72,54.34,61.09,65%
CRL,"Charles River Laboratories","Medical Services",229.16,+0.41%,8,Buy,"88% Buy",+54.66,+47.90%,180.41,191.2,186.97,217.38,66.8,27.62,4.83,930393,Strengthening,Strong,75.81%,0.99,180.71,254.05,66%
AIZ,"Assurant Inc","Insurance - Multi Line",275.44,+0.55%,8,Buy,"100% Buy",+47.01,+48.29%,241.11,259.1,238.91,271.49,61.73,28.01,4.31,370712,Strengthening,Maximum,61.70%,0.75,256.73,286.25,63%
ARMK,"Aramark Holdings Corp","Retail - Restaurants",56.99,-0.11%,10,Buy,"100% Buy",+46.60,+32.04%,47.8,53.34,44.72,55.95,62.49,11.76,44.56,2748897,Average,Maximum,70.58%,0.97,52.82,59.09,67%
TDOC,"Teladoc Health Inc","Medical Services",9.47,-2.57%,12,Buy,"88% Buy",+39.56,+20.18%,6.57,7.69,6.5,8.75,63.69,-0.1,25.24,6011115,Strengthening,Maximum,84.51%,0.83,7.3,10.19,75%
EXEL,"Exelixis Inc","Medical - Biomedical",55.68,+0.23%,7,Buy,"100% Buy",+37.15,+24.26%,47.71,52.12,46.35,54.59,58.66,3.98,16.99,2720920,Strengthening,Maximum,64.15%,0.74,50.99,58.19,65%
FMX,"Fomento Economico Mexicano S.A.B. DE C.V. ADR","Beverages - Soft",129.49,+0.56%,5,Buy,"100% Buy",+36.79,+30.39%,118.27,124.74,113.96,128.04,54.92,10.11,18.07,453711,Strengthening,Maximum,61.99%,0.57,123.57,132.51,66%
PUBM,"Pubmatic Inc Cl A","Internet - Software",13.63,-1.23%,7,Buy,"100% Buy",+32.87,+11.45%,10.1,11.61,9.37,12.84,66.18,-8.83,43.61,707384,Strengthening,Maximum,88.22%,0.62,10.96,14.73,71%
RNR,"Renaissancere Holdings Ltd","Insurance - Proprty & Casualty",315.26,+2.45%,11,Buy,"88% Buy",+32.20,+31.79%,301.5,301.39,294.98,314.47,53.55,11.51,2.08,387103,Average,Strong,40.64%,0.9,298.55,330.39,52%
ETR,"Entergy Corp","Utility - Electric Power",114.87,+0.55%,9,Buy,"100% Buy",+32.13,+37.49%,110.94,112.24,105.79,114.24,54.68,17.21,14.23,2988052,Average,Strong,56.55%,0.42,111.37,117.11,61%
WBS,"Webster Financial Corp","Banks - Northeast",76.26,-0.42%,7,Buy,"100% Buy",+28.62,+30.49%,72.28,74,70.34,76.16,56.64,10.21,11.11,2996365,Strengthening,Strong,47.71%,1.93,74.94,77.37,54%
QNST,"Quinstreet Inc","Internet Services - Delivery",17.31,-1.37%,16,Buy,"80% Buy",+27.74,+10.68%,12.83,13.45,13.12,15.29,78.25,-9.6,10.41,724898,Average,Strong,90.94%,0.83,11.83,18.76,79%
PSO,"Pearson Plc ADR","Media Conglomerates",16.89,+2.24%,9,Buy,"100% Buy",+27.62,+18.53%,14.51,15.51,14.11,16.1,62.09,-1.75,10.25,949231,Strongest,Maximum,61.13%,0.72,14.42,17.77,74%
BHF,"Brighthouse Financial Inc","Insurance - Life",65.49,+0.63%,11,Buy,"100% Buy",+26.43,+30.28%,62.01,63.19,62.82,64.35,61.7,10,-8.97,868105,Strengthening,Soft,69.61%,1.39,61.96,66.74,74%
ABEO,"Abeona Therapeutics","Medical - Biomedical",7.02,-3.70%,13,Buy,"100% Buy",+24.87,+12.14%,5.45,5.89,5.36,6.31,67.23,-8.14,23.16,1372791,Strengthening,Maximum,89.21%,0.86,5.09,7.52,79%
LYV,"Live Nation Entertainment","Movie & TV Production & Dist",179.85,+0.79%,7,Buy,"100% Buy",+24.47,+21.04%,164.34,171.44,158.06,178.95,55.02,0.76,16.16,2882781,Strengthening,Maximum,52.09%,0.54,168.26,189.64,54%
JOYY,"Joyy Inc ADR","Internet - Services",69.32,-2.26%,7,Buy,"88% Buy",+24.12,+27.45%,62.39,64.89,63.39,68.1,56.18,7.17,-3.01,332998,Average,Good,71.83%,0.97,64.2,72,66%
L,"Loews Corp","Insurance - Multi Line",113.89,+1.22%,11,Buy,"88% Buy",+21.89,+25.24%,109.09,109.06,108.03,113.16,55.13,4.96,-1.9,781831,Strengthening,Good,42.45%,0.85,107.41,118.91,56%
GD,"General Dynamics Corp","Aerospace - Defense",368.82,+0.87%,5,Buy,"100% Buy",+21.13,+22.94%,348.65,351.81,349.34,361.66,58.01,2.66,-0.5,1278318,Strengthening,Good,66.50%,0.58,337.36,385.96,65%
GLBE,"Global-E Online Ltd","Internet Commerce",38.35,-1.62%,12,Buy,"56% Buy",+18.43,+15.17%,32.84,32.9,34.37,35.88,64.26,-5.11,-12.49,1487692,Weakening,Average,83.85%,0.52,31.17,40.6,76%
ACGL,"Arch Capital Grp Ltd","Insurance - Proprty & Casualty",100.04,+1.52%,11,Buy,"72% Buy",+13.76,+12.32%,95.52,94.82,95.52,98.23,56.68,-7.96,-5.75,2152561,Average,Good,54.06%,0.69,90.58,105.88,62%
RMNI,"Rimini Street Inc","Internet - Software",4.69,+1.30%,9,Buy,"88% Buy",+10.21,-6.57%,3.78,4.11,3.75,4.45,63.04,-26.85,10.83,363762,Strengthening,Maximum,74.01%,0.41,3.93,4.97,73%
AFG,"American Financial Group","Insurance - Proprty & Casualty",139.93,+1.49%,10,Buy,"88% Buy",+10.14,+11.57%,132.64,135.39,132.61,139.31,54.04,-8.71,-7.67,527315,Strengthening,Average,41.57%,0.77,133.11,145.52,55%
RSKD,"Riskified Ltd Cl A","Internet - Software",5.15,0.00%,8,Buy,"88% Buy",+4.68,0.00%,4.61,4.92,4.64,5.07,56.46,-20.28,-6.43,724963,Strengthening,Strong,63.55%,0.72,4.81,5.33,65%
AHRT,"Ah Realty Trust Inc","REIT - Equity Trust Other",7.03,-0.42%,7,Buy,"88% Buy",+3.92,-0.85%,6.33,6.81,6.49,6.98,56,-21.13,-3.86,1081614,Average,Good,58.90%,0.59,6.66,7.3,58%
HNST,"The Honest Company","Consumer Prdts - Misc Discr",3.92,-2.24%,8,Buy,"100% Buy",+2.02,-11.51%,3.27,3.57,3.02,3.79,58.35,-31.79,41.89,2400153,Strengthening,Good,74.82%,0.77,3.45,4.13,69%
MTN,"Vail Resorts","Leisure & Recreation Services",149.13,+0.74%,3,Buy,"56% Buy",-0.18,-5.91%,133.08,134.57,135.65,142.27,61.98,-26.19,2.25,862245,Strengthening,Good,73.16%,1.26,130.68,153.87,80%
FMS,"Fresenius Medical Care Ag ADR","Medical Instruments",24.09,+0.12%,4,Buy,"40% Buy",-5.12,-11.53%,22.7,22.57,22.9,23.64,59.87,-31.81,-8.92,594675,Weakening,Weak,79.30%,0.94,22.65,24.63,73%
"Downloaded from Barchart.com as of 07-16-2026 10:58pm CDT"
