Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D RSI","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
SYRE,"Spyre Therapeutics Inc","Medical - Biomedical",100.04,-2.05%,7,Buy,"100% Buy",+413.27,+462.34%,71.27,85.45,59.08,95.99,57.27,446.3,197.08,1057627,Strengthening,Maximum,73.82%,0.49,86.09,105.89,70%
PARR,"Par Pacific Holdings Inc","Oil - Refining and Marketing",78.64,+1.62%,14,Buy,"100% Buy",+173.26,+150.21%,60.87,61.31,53.49,69.55,73.02,134.17,115.5,1208801,Strongest,Maximum,79.86%,1.19,53.16,85.95,78%
VLO,"Valero Energy Corp","Oil - Refining and Marketing",304.93,+0.80%,12,Buy,"100% Buy",+130.38,+114.78%,252.47,266.2,230.57,289.84,64.28,98.74,79.02,3186648,Strongest,Maximum,71.18%,0.78,254.1,325.59,71%
INSW,"International Seaways Inc","Transportation - Ship",90.69,-1.72%,10,Buy,"100% Buy",+121.66,+125.20%,80.12,83.94,72.89,86.24,58.09,109.16,78.51,557728,Average,Strong,87.21%,0.94,77.32,95.16,75%
PEB,"Pebblebrook Hotel Trust","REIT - Equity Trust Other",19.31,+1.15%,4,Buy,"100% Buy",+108.65,+82.00%,15.42,17.55,14.3,18.84,59.71,65.96,62.29,2298586,Strongest,Maximum,64.77%,1.31,17.78,19.89,72%
FTI,"Technipfmc Plc","Oil - Field Services",75.04,-2.23%,14,Buy,"88% Buy",+105.15,+105.87%,70.07,69.87,65.02,71.25,61.34,89.83,60.11,4033949,Weakening,Good,82.54%,0.62,64.09,78.42,76%
ILMN,"Illumina Inc","Medical - Biomedical",189.47,-2.38%,6,Buy,"100% Buy",+102.13,+73.35%,149.62,170.84,144.79,189.06,56.15,57.31,36.17,1838854,Strengthening,Maximum,72.03%,0.93,179.44,198.68,52%
MPC,"Marathon Petroleum Corp","Oil - Refining and Marketing",312.35,+1.01%,14,Buy,"100% Buy",+100.01,+82.05%,251.85,269.67,228.95,291.59,69.67,66.01,83.77,2336448,Strongest,"Top 1%",74.98%,1.03,249,334.18,74%
UGP,"Ultrapar Participacoes S.A. ADR","Oil - Production & Pipeline",6.28,-2.33%,14,Buy,"88% Buy",+98.79,+109.33%,5.51,5.43,5.18,5.86,66.87,93.29,58.29,2748459,Average,Strong,86.93%,1.16,4.84,6.89,70%
CXW,"Corecivic Inc","REIT - Equity Trust Other",31.21,-0.45%,5,Buy,"100% Buy",+80.08,+50.55%,23.46,27.16,21.93,31.09,60.05,34.51,55.03,1119676,Average,Maximum,67.78%,0.79,29.71,32.46,55%
PSX,"Phillips 66","Oil - Refining and Marketing",207.82,+0.51%,14,Buy,"100% Buy",+78.20,+66.30%,176.97,183.24,166.15,193.72,68.09,50.26,52.76,2671263,Strongest,Maximum,76.83%,0.76,165.5,221.93,75%
ILPT,"Industrial Logistics Properties Trust","REIT - Equity Trust Other",9.01,-2.07%,2,Buy,"100% Buy",+76.44,+59.75%,7.62,8.75,6.97,8.93,53.17,43.71,54.35,380197,Average,Strong,72.53%,0.57,8.51,9.36,59%
MUSA,"Murphy USA Inc","Retail - Convenience Stores",610.44,-0.44%,12,Buy,"100% Buy",+72.92,+44.45%,536.79,568.38,494.84,592.3,57.7,28.41,42.99,324282,Average,Strong,71.28%,1,538.01,646.58,67%
CVS,"CVS Corp","Medical Services",107.07,-0.62%,13,Buy,"100% Buy",+72.47,+76.39%,89.28,100.27,85.67,105.72,58.95,60.35,26.63,8110300,Average,Maximum,59.62%,0.98,101.63,109.8,67%
IFS,"Intercorp Financial Services Inc","Finance - Misc Services",59.61,-0.20%,8,Buy,"100% Buy",+65.67,+63.99%,50.76,54.44,49.46,58.96,59.99,47.95,32.43,252839,Strengthening,Maximum,57.08%,0.46,56.72,61.21,64%
RPRX,"Royalty Pharma Plc Cl A","Medical - Biomedical",58.73,-0.17%,10,Buy,"100% Buy",+64.60,+60.16%,51.87,55.59,48.58,57.52,59.79,44.12,43.7,3632977,Strengthening,Maximum,83.74%,0.42,55.37,59.67,78%
CROX,"Crocs Inc","Textile - Apparel",134.54,-0.13%,7,Buy,"100% Buy",+62.66,+26.03%,107.49,122.45,101.06,130.39,59.12,9.99,49.03,1348290,Strengthening,Maximum,68.52%,1.05,119.7,141.07,69%
BNY,"Bank of New York Mellon Corp","Banks - Major Regional",157.77,-0.32%,9,Buy,"100% Buy",+62.65,+56.33%,135.91,146.44,130.47,153.87,60.71,40.29,27.61,3761513,Strengthening,Maximum,69.28%,0.71,142.62,165.12,67%
SUNC,"Sunococorp Llc","E&P MLP",75.49,-1.05%,13,Buy,N/A,+60.44,N/A,65.78,68.95,61.79,71.83,66.8,N/A,44.9,N/A,N/A,N/A,83.65%,0.59,65.8,77.87,80%
GEO,"Geo Group Inc","Government Services",30.93,+0.03%,3,Buy,"100% Buy",+57.89,+18.51%,22.64,27.6,20.44,30.18,64.31,2.47,83.58,2093197,Average,Maximum,68.92%,0.65,28.87,31.48,79%
LXP,"Lxp Industrial Trust","REIT - Equity Trust Resident",60.66,-0.25%,8,Buy,"100% Buy",+56.41,+50.33%,51.72,54.35,51.08,57.2,73.1,34.29,14.06,633603,Strengthening,"Top 1%",87.99%,1.3,51.92,62.48,83%
BPOP,"Popular Inc","Banks - Southeast",171.41,-0.19%,8,Buy,"100% Buy",+55.61,+48.63%,150.47,160.57,144.84,169.71,60.03,32.59,29.37,553921,Strengthening,Maximum,67.04%,0.87,164.4,175.03,66%
INN,"Summit Hotel Properties","REIT - Equity Trust Other",6.9,-1.71%,1,Buy,"100% Buy",+49.35,+25.00%,5.49,6.31,5.21,6.73,59.42,8.96,33.39,1152166,Average,Maximum,80.22%,0.83,6.28,7.17,70%
EIX,"Edison International","Utility - Electric Power",78.64,-1.39%,8,Buy,"100% Buy",+48.41,+48.52%,72.37,73.56,69.73,76.65,61.53,32.48,22.73,2984627,Strengthening,Strong,77.01%,0.83,72.82,80.48,76%
SBLK,"Star Bulk Carriers","Transportation - Ship",27.1,-3.70%,7,Buy,"88% Buy",+48.33,+44.15%,25.36,26.49,24.24,26.14,55.05,28.11,32.71,1306272,Average,Strong,83.65%,0.93,24.4,27.88,77%
NMR,"Nomura Holdings Inc ADR","Finance - Investment Brokers",9.79,-0.20%,9,Buy,"100% Buy",+47.46,+44.18%,8.43,8.87,8.59,9.5,62.74,28.14,8.4,1393407,Strengthening,Strong,65.98%,0.59,8.79,10.21,71%
NATL,"NCR Atleos Corporation","Internet - Software",47.03,-1.51%,14,Buy,"100% Buy",+46.29,+70.96%,44.6,44.89,43,45.82,62.9,54.92,15.12,722108,Strengthening,Good,79.60%,1.01,42.77,48.88,70%
TFSL,"Tfs Financial Corp","Finance - Savings & Loan",18.08,-0.60%,4,Buy,"100% Buy",+45.85,+42.47%,15.63,16.92,15.19,17.92,61.85,26.43,26.84,733784,Strengthening,Maximum,69.34%,0.76,17.32,18.52,63%
SUN,"Sunoco LP","Oil Refining & Marketing MLP",74.51,-0.93%,12,Buy,"100% Buy",+44.91,+39.25%,67.09,68.44,63.89,71.28,62.98,23.21,33.88,514956,Average,Maximum,77.41%,0.93,65.38,77.19,77%
USB,"U.S. Bancorp","Banks - Major Regional",63.49,-0.75%,7,Buy,"100% Buy",+44.49,+37.07%,56.42,58.81,56.31,62.66,59.7,21.03,10.69,9614345,Strengthening,Maximum,70.68%,0.71,60.57,64.75,70%
SOBO,"South Bow Corp","Oil - Production & Pipeline",37.36,-2.96%,11,Buy,"88% Buy",+43.22,+43.97%,35.19,36.87,33,36.77,52.53,27.93,27.71,931093,Weakening,Strong,77.70%,0.56,34.15,39.39,61%
BLLN,"Billiontoone Inc Cl A","Medical Products",127.98,+1.51%,10,Buy,N/A,+42.69,N/A,93.8,108.15,91.53,125.31,58.77,N/A,48.09,N/A,N/A,N/A,70.56%,0.67,117.3,133.32,67%
PAGP,"Plains Gp Holdings LP","Oil - Production & Pipeline",26.09,-1.36%,16,Buy,"100% Buy",+40.97,+31.63%,24.17,24.75,22.97,25.2,64.29,15.59,28.02,1686272,Strengthening,Strong,88.27%,0.95,23.64,26.76,78%
FULT,"Fulton Financial Cor","Banks - Northeast",24.4,-0.69%,5,Buy,"100% Buy",+40.54,+31.18%,21.96,23.08,21.56,24.35,55.98,15.14,17.94,1925131,Strengthening,Maximum,52.33%,0.87,23.74,24.96,54%
PAA,"Plains All American Pipeline LP","Oil Gas Prod Pipeline MLP",24.29,-1.26%,15,Buy,"100% Buy",+40.34,+30.03%,22.38,22.9,21.34,23.38,64.34,13.99,26.96,3049603,Strengthening,Maximum,86.55%,1.01,21.68,25.09,77%
BNL,"Broadstone Net Lease Inc Cl A","REIT - Equity Trust Resident",22.39,+0.13%,9,Buy,"100% Buy",+38.66,+40.99%,20.27,21.09,19.68,21.91,61.73,24.95,20.61,2058980,Strongest,Maximum,61.35%,0.79,20.56,23.27,68%
NIC,"Nicolet Bankshares Inc","Banks - Northeast",168.16,-0.87%,5,Buy,"100% Buy",+36.95,+25.90%,150.94,153.21,147.59,166.48,61.4,9.86,30.34,201887,Average,Strong,65.16%,0.87,161.31,171.66,66%
MTB,"M&T Bank Corp","Banks - Major Regional",248.28,-0.53%,8,Buy,"100% Buy",+36.91,+28.13%,220.31,229.84,219.59,244.08,60.36,12.09,14.94,1139541,Strengthening,Maximum,69.30%,0.96,233.52,254.63,70%
CTO,"Cto Realty Growth Inc","REIT - Equity Trust Other",22.03,+0.14%,4,Buy,"100% Buy",+36.32,+24.82%,20.26,21.09,19.66,21.78,57.57,8.78,11.37,302045,Strengthening,Maximum,54.15%,0.77,21.03,22.54,66%
FR,"First Industrial Realty Trust","REIT - Equity Trust Other",66.46,-0.79%,8,Buy,"100% Buy",+36.08,+33.37%,62.11,63.49,61.15,65.41,56.06,17.33,7.76,1053984,Strengthening,Strong,52.03%,1.26,60.88,69.93,62%
PBA,"Pembina Pipeline Cor","Oil - Production & Pipeline",49.91,-2.84%,11,Buy,"100% Buy",+35.90,+35.74%,46.53,48.43,44.55,49,55.16,19.7,22.85,1333531,Strengthening,Strong,83.00%,0.72,45.2,52.81,62%
OFG,"OFG Bancorp","Banks - Northeast",52.38,-0.04%,5,Buy,"100% Buy",+33.29,+20.94%,45.1,47.96,43.78,50.43,65.8,4.9,19.53,323055,Strengthening,"Top 1%",82.41%,0.77,47.9,52.95,89%
INDB,"Independent Bk Corp","Banks - Northeast",84.72,-0.47%,3,Buy,"100% Buy",+33.19,+27.90%,79.48,81.87,79.34,84.45,54.26,11.86,7.64,343733,Average,Strong,64.75%,0.67,82.46,86.44,57%
HTO,"H2O America","Waste Removal Svcs",63.5,-0.53%,9,Buy,"100% Buy",+32.18,+30.63%,58.77,59.45,56.6,62.69,60.94,14.59,21.33,467099,Strengthening,Strong,58.32%,0.81,59.9,65.48,65%
PFS,"Provident Financial Services","Finance - Savings & Loan",23.86,-0.13%,5,Buy,"100% Buy",+31.83,+25.32%,22.34,23.03,22.04,23.72,55.08,9.28,12.52,919982,Strengthening,Strong,57.70%,0.83,23.08,24.36,61%
NWE,"Northwestern Energy Group Inc","Utility - Electric Power",72.2,-0.91%,4,Buy,"100% Buy",+29.90,+37.21%,70.31,71.1,69.31,71.91,52.27,21.17,3.58,522484,Weakening,Average,61.37%,0.62,70.01,73.81,58%
BIP,"Brookfield Infrastructure Partners LP","REIT - Equity Trust Other",40.41,-1.15%,16,Buy,"100% Buy",+29.70,+26.44%,37.46,38.31,37.08,38.33,67.45,10.4,8.03,779453,Strengthening,Strong,86.61%,2.31,35.29,41.37,84%
CTVA,"Corteva Inc","Agriculture Operations",87.58,-1.87%,8,Buy,"100% Buy",+28.56,+19.27%,81.22,81.56,78.21,86.13,60.91,3.23,22.37,3928256,Average,Strong,86.69%,0.97,82.81,89.44,72%
BRX,"Brixmor Property Group Inc","REIT - Equity Trust Retail",32.35,-0.28%,4,Buy,"100% Buy",+27.82,+26.22%,30.52,31.31,29.47,31.75,57.1,10.18,15.09,2659601,Average,Strong,70.83%,1.09,30.52,32.98,74%
CP,"Canadian Pacific Kansas City Ltd","Transportation - Rail",91.4,-1.04%,9,Buy,"100% Buy",+27.67,+18.81%,85.62,88.9,82.89,90.19,55.93,2.77,15.84,2693942,Strengthening,Strong,70.62%,0.89,85.89,94.49,64%
GNW,"Genworth Financial Inc","Insurance - Life",9.9,-0.20%,10,Buy,"100% Buy",+27.09,+23.75%,8.89,9.24,8.84,9.7,62.75,7.71,1.34,3512628,Strengthening,Strong,73.99%,0.77,9.11,10.29,67%
GTY,"Getty Realty Corp","REIT - Equity Trust Other",35.05,+0.72%,9,Buy,"100% Buy",+27.05,+26.22%,33.41,33.73,32.28,34.76,54.5,10.18,19.77,471193,Strongest,Strong,29.82%,1.18,32.95,36.57,58%
LTC,"Ltc Properties","REIT - Equity Trust Other",41.94,-0.57%,11,Buy,"100% Buy",+24.39,+18.27%,38.46,38.48,37.91,40.31,66.63,2.23,13.7,437814,Strengthening,Maximum,75.79%,0.66,37.35,43.27,78%
RNST,"Renasant Corp","Banks - Southeast",43.31,-0.37%,4,Buy,"100% Buy",+24.31,+17.79%,40,41.94,39.33,42.97,54.92,1.75,14.68,667580,Strengthening,Maximum,67.08%,0.67,41.75,44.2,64%
SFNC,"Simmons First Natl","Banks - Southeast",22.97,-0.91%,4,Buy,"100% Buy",+23.90,+16.72%,21.18,22.16,20.83,22.89,54.71,0.68,13.57,1252671,Average,Maximum,52.80%,0.81,22.4,23.38,58%
WES,"Western Midstream Partners LP","Oil Refining & Marketing MLP",46.73,-1.56%,15,Buy,"100% Buy",+22.31,+14.65%,43.21,44.78,42.46,45.43,59.49,-1.39,10.01,1390218,Average,Maximum,75.86%,1.1,42.67,48.2,73%
NTST,"Netstreit Corp","REIT - Equity Trust Other",21.86,-1.53%,6,Buy,"100% Buy",+22.16,+18.87%,20.44,20.77,19.87,21.68,56.03,2.83,15.63,1511391,Strengthening,Strong,61.62%,0.73,21.03,22.34,64%
AWR,"American States Water Company","Utility - Water Supply",86.09,-0.37%,9,Buy,"100% Buy",+19.76,+18.06%,78.38,80.59,76.69,85.27,59.3,2.02,10.49,303724,Strengthening,Maximum,52.81%,0.96,81.39,89.15,61%
D,"Dominion Energy Inc","Utility - Electric Power",70.27,-1.17%,6,Buy,"100% Buy",+19.43,+19.61%,65.35,68.34,63.97,70.17,53.43,3.57,11.65,5951908,Average,Maximum,45.79%,0.39,68.13,72.21,52%
SWX,"Southwest Gas Corp","Utility - Gas Distribution",92.01,-1.14%,6,Buy,"100% Buy",+18.25,+17.33%,89.34,89.45,87.49,91.26,55.19,1.29,6.69,519525,Average,Strong,65.13%,0.8,88.38,94.14,63%
OCFC,"Oceanfirst Financial Corp","Finance - Savings & Loan",19.6,+0.20%,4,Buy,"88% Buy",+17.49,+12.45%,18.62,18.83,18.69,19.43,56.53,-3.59,0.9,716234,Strongest,Average,56.76%,0.63,18.68,20.18,61%
STAG,"Stag Industrial Inc","REIT - Equity Trust Other",40.64,-1.14%,6,Buy,"100% Buy",+17.48,+14.03%,38.41,38.77,38.25,39.93,56.4,-2.01,2.26,1390417,Strengthening,Strong,54.58%,1.5,37.41,42.46,64%
FTS,"Fortis Inc","Utility - Electric Power",58.31,-0.90%,4,Buy,"100% Buy",+16.92,+18.83%,56.75,56.8,55.7,57.81,55.2,2.79,3.97,800055,Average,Good,73.12%,1.03,56.58,59.05,70%
ET,"Energy Transfer LP","Oil Gas Prod Pipeline MLP",19.91,-2.21%,10,Buy,"100% Buy",+14.58,+12.36%,19.38,19.59,18.83,19.86,51.76,-3.68,12.45,14042209,Average,Strong,69.96%,1.47,18.95,20.77,53%
