Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
LASR,"Nlight Inc","Electronics - Semiconductors",66.95,-3.54%,9,Buy,"88% Buy",+377.50,+701.80%,54.78,65.59,47.21,68.75,49.32,673.33,72.45,1127558,Average,Strong,33.75%,0.46,61.33,76.17,38%
PL,"Planet Labs Pbc","Satellite Communication",37.13,-3.66%,5,Buy,"100% Buy",+320.43,+970.03%,27.03,31.53,22.37,36.47,55.74,941.56,82.25,12073325,Average,Maximum,55.43%,0.61,32.72,40.21,59%
TER,"Teradyne Inc","Electronics Products - Misc",357.1,+5.83%,11,Hold,"80% Buy",+310.45,+373.36%,285.76,330.83,245.03,368.43,51.52,344.89,78.45,3629505,Strengthening,Strong,37.25%,1.03,320.19,416.68,38%
SPHR,"Sphere Entertainment CO","Media Conglomerates",136.6,+0.10%,9,Buy,"100% Buy",+288.36,+388.90%,109.19,121.81,96.57,133.28,58.31,360.43,37.63,916339,Strengthening,Maximum,64.17%,1.75,124.04,142.52,68%
FET,"Forum Energy Technologies Inc","Oil Field Machinery & Equip",59.26,-0.45%,4,Buy,"88% Buy",+282.27,+328.80%,50.71,59.07,43.64,60.1,48.78,300.33,54.34,155712,Weakening,Strong,51.19%,0.96,55.34,64.85,41%
NESR,"National Energy Services Reunited Corp","Oil Field Machinery & Equip",24.41,+1.24%,5,Buy,"100% Buy",+276.21,+292.44%,20.62,22.78,17.92,23.99,56.38,263.97,49.83,1318031,Strengthening,Strong,56.55%,1.1,22.79,25.19,68%
GLW,"Corning Inc","Communications Components",162.1,+1.34%,5,Buy,"88% Buy",+253.74,+256.97%,125.93,149.66,112.34,165.77,53.31,228.5,79.09,8811881,Strengthening,Maximum,38.62%,1,153.25,178.29,35%
KOD,"Kodiak Sciences Inc","Medical - Biomedical",42.66,+0.95%,6,Buy,"88% Buy",+250.10,+767.07%,30.16,34.64,26.28,43.75,54.89,738.6,46.54,923018,Average,Maximum,42.38%,0.83,40.54,46.96,33%
FN,Fabrinet,"Electronics - Misc Components",660.32,-8.01%,8,Buy,"88% Buy",+204.81,+198.92%,538.56,596.63,499.67,676.99,52,170.45,39,672063,Average,Maximum,63.65%,2.58,618.28,735.7,36%
AEIS,"Advanced Energy","Semi-Eqpt Wafer Fabrication",345.63,-10.70%,7,Hold,"80% Buy",+196.53,+214.09%,297.9,344.47,265.02,377.11,43.47,185.62,59.04,554197,Weakening,Strong,57.57%,3.35,356.66,397.57,-27%
BORR,"Borr Drilling Ltd","Oil & Gas - Drilling",5.92,-2.79%,4,Buy,"100% Buy",+185.22,+263.19%,5.12,5.66,4.44,5.79,55.16,234.72,40.86,5918818,Weakening,Strong,72.33%,0.93,5.31,6.28,63%
FTI,"Technipfmc Plc","Oil - Field Services",75.03,+0.58%,9,Buy,"100% Buy",+159.24,+156.43%,61,69.6,54.44,73.6,59.34,127.96,62.34,4193607,Average,Maximum,71.34%,0.81,69.93,77.27,69%
TIGO,"Millicom International Cellular S.A.","Wireless Non-US",83.79,+0.29%,7,Buy,"100% Buy",+145.66,+150.42%,67.74,77.12,61.62,82.65,59.43,121.95,45.1,1122353,Average,Maximum,83.95%,0.57,79.45,85.86,68%
PUMP,"Propetro Holding Corp","Oil - Field Services",16.61,-1.42%,13,Buy,"100% Buy",+142.78,+213.99%,12.4,14.34,11.04,15.52,59.34,185.52,68.62,3139873,Strengthening,Maximum,62.74%,6.76,12.47,18.56,68%
FIGS,"Figs Inc Cl A","Retail - Apparel & Shoes",14.54,+4.08%,4,Hold,"64% Buy",+139.94,+222.39%,13.19,14.99,11.66,15.23,46.3,193.92,21.95,2675333,Average,Good,18.94%,0.88,13.78,16.67,26%
KLAC,"K L A-Tencor Corp","Electronics Products - Misc",1732.9,+1.14%,11,Buy,"88% Buy",+138.41,+149.95%,1495.25,1599.78,1380.61,1778.86,52,121.48,36.58,1023884,Strengthening,Maximum,26.64%,1.23,1657.45,1900.26,31%
SND,"Smart Sand Inc","Chemical - Diversified",5.21,-3.52%,9,Buy,"100% Buy",+130.78,+150.48%,4.56,4.78,3.87,5.14,53.42,122.01,24.21,278384,Weakening,Strong,67.89%,0.62,4.72,5.56,58%
ADTN,"Adtran Holdings Inc","Communications Components",15.3,-16.58%,12,Hold,"80% Buy",+123.04,+93.67%,11.29,13.31,10.42,16.42,48.23,65.2,70.02,1669201,Strengthening,Strong,69.10%,2.67,13.97,18.87,27%
DAN,"Dana Inc","Auto - Truck Original Parts",34.63,-0.09%,13,Hold,"80% Buy",+121.50,+138.33%,31.25,34.57,27.66,36.68,43.63,109.86,39.71,1738266,Weakening,Strong,12.25%,0.69,34.15,39.21,9%
ATI,"Ati Inc","Aerospace - Defense Equipment",155.35,+0.95%,7,Hold,"80% Buy",+119.37,+130.56%,139.11,153.52,123.63,156.92,51.96,102.09,29.33,1807454,Average,Strong,51.46%,0.64,147.59,166.24,42%
NE,"Noble Corp Plc","Oil & Gas - Drilling",49.95,-1.92%,5,Buy,"100% Buy",+118.60,+125.20%,41.1,48.03,37.31,49.32,53.17,96.73,70.84,2093697,Weakening,Strong,55.13%,0.84,45.93,52.71,59%
LUNR,"Intuitive Machines Inc","Aerospace - Defense",24.8,-2.17%,8,Buy,"88% Buy",+117.99,+174.03%,19.32,21.42,16.51,25.54,52.16,145.56,46.76,10064082,Average,Strong,30.78%,1.01,21.77,29.31,40%
SDRL,"Seadrill 2021 Ltd","Oil & Gas - Drilling",48.9,-0.93%,6,Buy,"100% Buy",+108.99,+117.62%,41.21,45.76,37.72,47.94,59.62,89.15,35.29,823889,Weakening,Maximum,81.49%,0.61,45.38,50.5,69%
BFLY,"Butterfly Network Inc","Medical Information Systems",4.82,-0.62%,7,Buy,"88% Buy",+108.82,+117.12%,4.04,4.33,3.51,4.95,50.64,88.65,20.8,5625505,Strengthening,Strong,54.47%,0.79,3.98,5.93,43%
TDW,"Tidewater Inc","Oil - US Integrated",85.01,-2.38%,5,Buy,"88% Buy",+108.48,+123.65%,71.02,82.27,64.98,86.55,50.03,95.18,62.26,808849,Weakening,Strong,49.51%,1.31,82.64,90.46,30%
XPRO,"Expro Group Hldgs N.V.","Oil - Production & Pipeline",17.84,-1.22%,12,Buy,"100% Buy",+105.27,+123.56%,16.14,17.09,15.24,17.13,57.43,95.09,27.59,1197172,Weakening,Strong,86.18%,0.89,15.61,18.66,73%
ADEA,"Adeia Inc","Technology Services",27.83,-17.26%,15,Hold,"80% Buy",+104.05,+125.30%,21.48,25.44,19.26,29.27,47.57,96.83,55.26,904633,Strengthening,Strong,65.53%,3.48,25.1,33.44,33%
OII,"Oceaneering International","Oil - Field Services",37.66,+0.83%,5,Buy,"100% Buy",+102.44,+105.23%,32.31,36.21,29.53,37.11,54.51,76.76,50.68,961171,Strengthening,Strong,48.23%,0.59,35.6,38.62,68%
APEI,"American Public Education",Schools,58.12,+1.01%,9,Hold,"80% Buy",+101.99,+133.13%,47.51,54.4,43.46,58.17,55.35,104.66,47.72,287528,Average,Strong,46.22%,0.66,55.38,60.96,49%
CGEM,"Cullinan Therapeutics Inc","Medical - Biomedical",14.94,-2.61%,3,Hold,"80% Buy",+100.87,+80.65%,12.83,14.25,11.39,14.12,58.08,52.18,38.31,868774,Weakening,Strong,64.21%,1.08,12.43,15.82,74%
TWST,"Twist Bioscience Corp","Medical - Biomedical",56.7,+0.91%,8,Buy,"88% Buy",+99.85,+57.81%,45.68,50.99,40.71,57.27,52.25,29.34,72.71,1511005,Average,Maximum,26.78%,1.35,48.53,66.02,47%
