Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D RSI","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
FET,"Forum Energy Technologies Inc","Oil Field Machinery & Equip",80.86,-1.49%,8,Buy,"100% Buy",+178.78,+206.29%,62.78,72.33,61.33,80.54,56.35,189.78,105.41,193122,Average,Strong,65.40%,0.96,76.38,84.69,54%
PLSE,"Pulse Biosciences CS","Medical Instruments",53.31,-1.04%,5,Buy,"100% Buy",+166.38,+202.73%,33.89,42.85,29.63,51.58,58.4,186.22,274.84,364837,Strongest,"Top 1%",45.32%,0.75,46.7,56.45,68%
GH,"Guardant Health Inc","Medical - Biomedical",173.87,-3.07%,6,Buy,"100% Buy",+149.65,+193.95%,142.85,161.34,125.38,166.64,57.07,177.44,56.8,2215153,Average,Maximum,83.98%,1.31,152.33,180.96,75%
DK,"Delek US Holdings","Oil - Refining and Marketing",74.37,-4.80%,11,Buy,"100% Buy",+144.84,+137.60%,57.56,68.19,52.04,74.01,53.34,121.09,137.31,1488313,Strengthening,Maximum,68.24%,0.97,67.01,81.01,53%
ROIV,"Roivant Sciences Ltd","Medical - Biomedical",38.99,-1.96%,4,Buy,"100% Buy",+140.62,+159.24%,33.54,36.26,31.78,37.92,55.67,142.73,66.25,6621708,Average,Maximum,67.81%,0.77,32.58,43.27,60%
PBF,"PBF Energy Inc","Oil - Refining and Marketing",72.48,-6.10%,7,Hold,"80% Buy",+139.71,+140.56%,56.06,69.28,51.36,73.76,49.71,124.05,153.83,3310548,Weakening,Strong,48.61%,1.27,67.17,80.36,40%
EWTX,"Edgewise Therapeutics Inc","Medical - Biomedical",44.64,-1.50%,3,Buy,"100% Buy",+138.60,+213.04%,39.49,42.64,36.66,43.82,53.36,196.53,66.46,1282657,Weakening,Strong,63.19%,0.97,41.21,46.43,66%
PARR,"Par Pacific Holdings Inc","Oil - Refining and Marketing",82,-2.81%,10,Buy,"100% Buy",+131.75,+134.49%,68.8,78.85,64.38,80.99,52.76,117.98,119.92,1177078,Strengthening,Strong,70.52%,0.99,74.08,87.89,57%
LFST,"Lifestance Health Group Inc","Medical - Outpatient & Hm Care",12.67,+0.80%,6,Buy,"100% Buy",+131.74,+142.26%,10.22,11.88,9.07,12.65,54.33,125.75,66.54,3533088,Average,Maximum,34.41%,0.74,12.02,13.29,51%
MRX,"Marex Group Ltd","Finance - Misc Services",75.71,+1.77%,4,Buy,"100% Buy",+129.83,+130.61%,63.61,68.69,56.87,73.15,58.84,114.1,83.94,851347,Strengthening,Maximum,61.45%,1.56,68.48,77.81,78%
HNGE,"Hinge Health Inc Cl A","Medical Information Systems",94.45,-0.47%,5,Buy,"100% Buy",+106.00,+65.96%,75.38,86.74,64.22,91.7,58.69,49.45,89.91,1537658,Average,Strong,81.59%,0.61,87.3,96.09,81%
CBLL,"Ceribell Inc","Medical Products",24.25,-0.49%,5,Buy,"88% Buy",+91.25,+97.96%,20.17,21.6,19.85,24.22,56,81.45,-2.85,370662,Weakening,Good,57.98%,0.78,23.22,25.22,52%
MSBI,"Midland Sts BNC","Banks - Northeast",33.55,+0.03%,5,Buy,"100% Buy",+91.21,+86.70%,30.73,32.89,28.04,33.21,55.82,70.19,45.05,169528,Weakening,Strong,83.74%,0.75,32.48,33.94,73%
TIGO,"Millicom International Cellular S.A.","Wireless Non-US",95.11,+0.90%,5,Hold,"80% Buy",+89.66,+91.45%,90.78,95.02,85.62,94.89,51,74.94,58.12,1386276,Weakening,Good,55.87%,0.49,92.47,97.32,54%
WTTR,"Select Water Solutions Inc","Waste Removal Svcs",20.6,-0.87%,7,Buy,"88% Buy",+88.23,+106.41%,19.25,20.05,17.73,20.04,54,89.9,82.39,1583342,Average,Strong,70.07%,0.97,18.91,21.17,75%
AVT,"Avnet Inc","Electronics - Parts Distrib",95.48,-0.67%,8,Buy,"100% Buy",+83.54,+79.88%,88.62,91.03,81,91.76,56.47,63.37,85.16,1199224,Strongest,Strong,62.05%,1.15,85.85,97.68,81%
APA,"Apa Corp","Oil - US Exploration & Product",43.81,-2.36%,7,Buy,"88% Buy",+80.65,+86.58%,38.33,40.19,37.55,43.93,52.81,70.07,65.68,6642621,Weakening,Good,45.04%,1.07,41.05,46.81,48%
BFH,"Bread Financial Holdings","Finance - Misc Services",108,-0.49%,6,Hold,"96% Buy",+78.67,+70.19%,100.18,106.67,92.51,107.26,51.55,53.68,32.46,706987,Average,Strong,70.14%,0.72,103.58,110.93,60%
NTAP,"Netapp Inc","Computer - Storage Devices",198.15,+0.18%,4,Buy,"100% Buy",+77.32,+58.32%,165.32,184.92,144.17,189.26,58.75,41.81,71.6,2588030,Strengthening,Strong,93.84%,0.73,178.68,199.85,92%
CON,"Concentra Group Holdings Parent Inc",N/A,34.77,-1.97%,3,Buy,"100% Buy",+77.19,+68.30%,30.14,33.48,27.6,34.76,52.44,51.79,63.25,902778,Weakening,Maximum,57.13%,0.8,33.36,36.15,50%
BRKR,"Bruker Corp","Industrial Scientific",61.58,+0.31%,5,Buy,"88% Buy",+76.73,+85.65%,55,58.23,49.11,57.65,58,69.14,17.29,2321799,Average,Strong,81.26%,0.72,52.1,63.21,85%
MSGE,"Madison Square Garden Entmt Corp","Media Conglomerates",81.2,+2.76%,3,Buy,"100% Buy",+75.93,+79.84%,75.14,78.44,70.13,78.46,56.99,63.33,37.25,394143,Strengthening,Strong,58.54%,1.39,75.34,81.57,94%
NUTX,"Nutex Health Inc","Medical Services",201.48,-3.50%,7,Buy,"100% Buy",+72.06,+109.63%,161.46,179.74,141.56,198.59,54.71,93.12,8.96,171340,Average,Maximum,61.36%,0.77,178.33,218.85,57%
UFCS,"United Fire Group","Insurance - Proprty & Casualty",53.44,-1.75%,5,Hold,"80% Buy",+69.65,+70.79%,50.38,53.24,46.34,54.52,45.35,54.28,33.59,134956,Weakening,Strong,38.54%,0.7,52.99,56.04,15%
NSIT,"Insight Enterpr","Retail - Mail Order",156.7,+1.16%,11,Hold,"96% Buy",+69.00,+31.60%,122.32,143,107.04,156.58,54.16,15.09,78.91,445673,Strongest,Maximum,29.26%,1.26,147.16,166,51%
GCT,"Gigacloud Technology Inc Cl A","Technology Services",53.06,+0.38%,4,Buy,"100% Buy",+67.47,+79.50%,41.68,47.28,42.15,51.61,59.96,62.99,21.65,656133,Strongest,Strong,87.97%,0.81,48.72,54.51,75%
GRDN,"Guardian Pharmacy Services Inc Cl A","Medical - Drugs",44.16,-1.84%,12,Buy,"100% Buy",+67.37,+73.65%,39.95,40.57,38.5,41.56,58.63,57.14,33.33,409142,Average,Strong,71.06%,1.2,34.37,48.76,68%
SLDE,"Slide Insurance Holdings Inc","Insurance - Multi Line",24.22,-2.93%,7,Hold,"80% Buy",+66.48,+64.54%,20.37,22.38,19.62,24.41,52.86,48.03,10.9,1450198,Strengthening,Maximum,44.00%,0.95,22.49,26.32,45%
PVLA,"Palvella Therapeutics Inc","Medical - Biomedical",153.41,+1.89%,7,Buy,"100% Buy",+64.08,+163.41%,136.04,149.36,131.37,151.71,53.78,146.9,33.14,266696,Strengthening,Good,62.15%,0.6,146.73,156.69,67%
AVAH,"Aveanna Healthcare Holdings Inc","Medical - Outpatient & Hm Care",13.44,-1.68%,7,Buy,"88% Buy",+63.82,+65.93%,9.6,11.64,8.68,13.75,55.57,49.42,51.07,1872880,Average,Maximum,40.85%,0.71,13.1,14.4,26%
AMN,"Amn Healthcare Services Inc","Business Services",34.24,-0.06%,5,Buy,"100% Buy",+63.45,+82.91%,31.6,33.99,27.54,34.08,51.45,66.4,103.83,1043036,Weakening,Strong,65.72%,0.55,33.01,35.14,58%
GCBC,"Greene County Bncp","Finance - Savings & Loan",35.2,-1.29%,4,Buy,"100% Buy",+62.92,+46.73%,31.03,34.37,28.3,35.14,52.57,30.22,44.91,25042,Weakening,Strong,62.87%,2.11,34.21,36.07,53%
FLXS,"Flexsteel Inds",Furniture,81.16,+1.84%,4,Buy,"88% Buy",+62.14,+68.17%,69.46,77.71,62.43,81.39,54.35,51.66,92.09,52188,Average,Strong,28.75%,0.74,78.88,83.9,45%
LQDT,"Liquidity Services","Auction Valuation Services",42.83,-0.12%,2,Buy,"100% Buy",+60.63,+54.23%,38.83,41,36.42,42,56.53,37.72,27.88,184986,Average,Maximum,84.40%,0.81,39.65,44.35,68%
CHMG,"Chemung Financial Corp","Banks - Southeast",82.38,-0.71%,4,Hold,"80% Buy",+58.99,+55.26%,75.87,81.45,69.71,83.17,47.88,38.75,34.2,32433,Weakening,Strong,46.63%,1.24,80.04,86.3,37%
TALO,"Talos Energy Inc","Oil - US Exploration & Product",16.42,-3.47%,6,Hold,"80% Buy",+57.02,+83.87%,15.33,15.92,14.98,17.17,45.4,67.36,35.57,2116552,Weakening,Good,16.98%,0.83,16.27,18.07,9%
RDVT,"Red Violet Inc","Internet Software Services",75.5,-0.58%,7,Buy,"100% Buy",+56.16,+44.47%,61.85,70.11,54.47,74.14,56.47,27.96,19.14,165191,Average,Maximum,54.75%,0.56,69.22,79.07,64%
AMTB,"Mercantil Bank Holding Cl A","Banks - Southeast",29.54,-0.87%,8,Buy,"100% Buy",+55.33,+42.71%,26.06,28.59,24.8,29.17,56.49,26.2,37.98,301395,Average,Strong,79.30%,0.99,28.33,30.01,72%
GNK,"Genco Shipping & Trading Ltd","Transportation - Ship",27.83,-0.46%,4,Buy,"100% Buy",+54.57,+48.74%,25.27,26.16,24.54,27,58.69,32.23,37.57,435994,Strengthening,Strong,82.85%,0.87,25.54,28.45,79%
RBKB,"Rhinebeck Bancorp Inc","Banks - Northeast",13.03,+0.31%,3,Buy,"100% Buy",+54.42,+51.51%,12.16,12.55,11.83,12.81,59.93,35,38.33,60117,Strongest,Good,64.35%,0.97,12.51,13.12,86%
AVTR,"Avantor Inc","Medical Services",15.1,-2.71%,10,Buy,"100% Buy",+53.98,+20.80%,11.33,13.63,10.29,14.92,57.37,4.29,18.33,10301515,Average,Maximum,70.07%,0.95,14.02,15.83,60%
ATLO,"Ames Natl Corp","Banks - Midwest",32.02,+0.34%,4,Buy,"100% Buy",+52.85,+54.61%,30.16,31.22,29.36,31.98,52.43,38.1,26.03,50370,Average,Good,64.05%,0.64,31.13,32.82,52%
FF,"Futurefuel Corp",Biofuels,5.42,-2.52%,2,Buy,"100% Buy",+52.40,+40.78%,4.81,5.22,4.58,5.39,51.56,24.27,56.48,385886,Average,Strong,70.13%,0.56,5.19,5.59,57%
ASC,"Ardmore Shipping Corp","Transportation - Ship",18.6,-2.36%,5,Buy,"100% Buy",+51.97,+46.34%,17.27,17.37,16.67,18.21,57.42,29.83,62.21,656909,Average,Good,78.00%,0.82,17.05,19.36,67%
CBNA,"Chain Bridge Bancorp Inc Cl A","Banks - Northeast",47.22,+0.43%,5,Buy,"100% Buy",+50.98,+45.52%,41.8,45.53,39.69,46.29,57.35,29.01,22.89,10425,Strongest,Strong,70.14%,0.69,45.01,47.58,86%
BWFG,"Bankwell Financial","Banks - Northeast",65.94,-1.23%,6,Hold,"80% Buy",+49.25,+44.64%,59.89,65.5,56.25,66.62,47.04,28.13,30.48,54875,Weakening,Strong,59.21%,0.94,64.93,68.32,30%
PMTS,"CPI Card Group","Finance - Misc Services",24.65,+2.11%,4,Sell,"56% Buy",+47.73,+57.81%,21.29,24.84,19.25,26.94,43.89,41.3,54.49,76115,Strengthening,Good,31.62%,1.3,22.42,31.46,25%
REPX,"Riley Exploration Permian Inc","Oil - US Exploration & Product",40.62,-6.92%,12,Buy,"88% Buy",+46.36,+52.48%,36.28,37.62,35.45,41.21,50.45,35.97,40.43,313220,Average,Strong,59.70%,1.84,36.4,46.02,44%
VOD,"Vodafone Grp Plc ADR","Wireless Non-US",17.02,+0.41%,12,Buy,"100% Buy",+46.05,+49.17%,15.47,16.18,15.36,16.75,56.54,32.66,15.41,4141461,Strengthening,Strong,69.96%,0.86,15.46,18.04,61%
SMBK,"Smartfinancial Inc","Banks - Northeast",51.54,-0.29%,4,Buy,"100% Buy",+44.39,+39.71%,47.23,51.04,44.86,51.32,51.83,23.2,25.9,93715,Average,Strong,65.21%,0.69,50.07,52.57,59%
HBT,"Hbt Financial Inc","Banks - Northeast",35.69,-0.89%,6,Buy,"88% Buy",+44.26,+37.27%,32.44,35.4,30.76,36.06,46.81,20.76,24.64,98075,Weakening,Strong,48.48%,0.8,35.27,36.85,27%
TMP,Tompkinstrustco,"Banks - Northeast",98.48,-0.87%,3,Buy,"100% Buy",+43.94,+42.37%,93,97.87,88.56,98.04,51.43,25.86,22.37,79276,Strengthening,Strong,63.10%,0.97,96.21,99.87,62%
ASIC,"Ategrity Specialty Insurance Company Holdings","Insurance - Multi Line",27.07,-1.96%,8,Buy,"88% Buy",+43.31,+31.66%,23.25,25.43,22.31,27.15,53.43,15.15,15.41,89602,Average,Maximum,57.17%,0.88,25.75,28.55,47%
CAC,"Camden Natl Corp","Banks - Northeast",57.19,-0.63%,5,Buy,"88% Buy",+43.16,+42.19%,53.85,56.94,51.9,57.25,49.21,25.68,18.4,98827,Weakening,Strong,64.99%,0.89,56,58.5,48%
RUSHB,"Rush Enterprises  Cl B","Retail - Wsale Auto & Trucks",53.61,-3.27%,4,Buy,"100% Buy",+42.98,+36.23%,49.12,51.83,47.5,51.87,54.57,19.72,29.5,113968,Average,Strong,76.96%,0.83,47.81,55.92,72%
SGMT,"Sagimet Biosciences Inc Series A","Medical - Biomedical",10.8,-2.61%,8,Buy,"100% Buy",+42.67,+65.64%,8.26,9.33,7.36,10.73,57.18,49.13,69,1100885,Strengthening,Maximum,66.97%,0.68,10.17,11.29,56%
WTBA,"West Bancorp","Finance - Savings & Loan",29.22,-0.17%,5,Buy,"100% Buy",+42.03,+42.95%,26.52,28.41,25.75,28.92,55.24,26.44,18.25,51201,Average,Strong,72.18%,0.66,27.94,29.91,65%
PAA,"Plains All American Pipeline LP","Oil Gas Prod Pipeline MLP",24.99,-1.50%,9,Buy,"88% Buy",+41.80,+46.83%,23.55,24.6,22.88,25.56,47.22,30.32,25.71,3022918,Weakening,Strong,12.77%,0.71,24.87,26.24,9%
HPQ,"HP Inc","Computer - Micro",32.95,-4.22%,9,Buy,"100% Buy",+41.48,+17.01%,26.3,29.31,23.87,32.05,55.16,0.5,34.46,17731963,Strengthening,Maximum,66.03%,1.01,28.37,35.73,62%
NKSH,"Natl Bankshares Inc","Banks - Southeast",42.66,+0.16%,6,Buy,"100% Buy",+41.33,+38.33%,38.15,40.53,37.79,41.84,59.01,21.82,13.8,33066,Strongest,Strong,83.80%,0.38,40.16,43.52,74%
FBIZ,"First Business Finan","Banks - Midwest",71.1,+0.42%,8,Buy,"88% Buy",+40.91,+35.95%,64.28,69.71,61.32,71.36,51.17,19.44,17.51,43530,Average,Strong,41.78%,0.72,69.28,73.45,44%
AVBC,"Avidia Bancorp Inc","Banks - Northeast",21.92,-2.97%,5,Hold,"80% Buy",+40.87,+39.62%,20.77,21.66,20.37,22.03,49.67,23.11,16.97,102826,Weakening,Good,67.58%,1.15,21.61,22.45,37%
PBFS,"Pioneer Bancorp Inc","Banks - Northeast",18.04,-0.50%,8,Buy,"100% Buy",+40.65,+35.74%,16.71,17.57,15.84,17.95,55.28,19.23,20.4,15156,Average,Strong,27.12%,0.68,17.33,18.57,57%
CHYM,"Chime Financial Inc Cl A","Finance - Misc Services",29.92,-1.35%,6,Hold,"80% Buy",+40.50,+25.98%,23.77,28.74,22.83,32.67,43.68,9.47,5.44,5373194,Weakening,Strong,3.15%,0.9,30.21,35.13,-6%
CFFI,"C&F Financial Corp","Banks - Southeast",93,-0.64%,8,Buy,"100% Buy",+40.24,+29.31%,81.65,87.09,79.23,92.84,55.62,12.8,14.69,15080,Strengthening,Maximum,48.61%,1.37,88.41,97.26,52%
CRGY,"Crescent Energy Company Cl A","Other Alt Energy",13.26,-4.60%,8,Hold,"80% Buy",+40.07,+57.67%,12.09,12.53,12.12,14.04,45.92,41.16,44.62,6887739,Weakening,Good,17.85%,0.89,13.05,15.03,11%
RBB,"Rbb Bancorp","Banks - West",26.75,+0.19%,4,Hold,"80% Buy",+39.92,+37.53%,25.76,26.71,24.5,26.51,52.85,21.02,16.17,110884,Strengthening,Good,63.43%,0.61,25.97,27.06,72%
SM,"Sm Energy Company","Oil - US Exploration & Product",34.75,-6.00%,8,Hold,"80% Buy",+39.45,+35.42%,32.21,34.25,30.54,37.38,43.73,18.91,72.4,4895105,Weakening,Strong,10.20%,1.29,34.61,40.16,3%
CFFN,"Capitol Fed Finl Inc","Finance - Savings & Loan",8.85,-0.56%,11,Buy,"100% Buy",+39.22,+37.85%,8.36,8.74,8.02,8.75,55.73,21.34,16.53,905263,Strengthening,Strong,77.78%,0.73,8.5,8.99,71%
ADM,"Archer Daniels Midland","Agriculture Operations",83.38,-2.11%,10,Buy,"88% Buy",+37.76,+35.25%,80.62,82.57,77,83.88,48.79,18.74,31.6,3731938,Weakening,Good,60.34%,0.67,78.09,89.67,46%
