Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol","Wkly Opts",Direction,Strength,"14D Stoch %K","50D RelVol"
SLGL,"Sol-Gel Technologies Ltd","Medical - Generic Drugs",79.37,-4.95%,1,Sell,"72% Buy",+572.05,"+1,502.27%",60.21,75.99,50.93,79.79,49.43,1486.41,88.05,22551,No,Weakest,Strong,56.17%,1.7
COHR,"Coherent Corp","Technology Services",258.11,+4.16%,2,Hold,"96% Buy",+385.18,+284.82%,207.29,240.34,176.02,250.77,53.77,268.96,44.84,5013404,Yes,Strongest,Strong,50.43%,0.44
TYRA,"Tyra Biosciences Inc","Medical - Biomedical",39.42,+2.98%,10,Buy,"100% Buy",+380.12,+356.65%,28.39,33.59,23.44,36.76,63.61,340.79,54.27,518990,No,Strongest,"Top 1%",76.85%,0.49
OPTX,"Syntec Optics Holdings Inc","Technology Services",8.3701,+6.08%,5,Buy,"100% Buy",+379.33,+587.20%,4.59,6.88,3.73,7.31,59.97,571.34,204.37,1020818,No,"Top 1%",Maximum,59.52%,0.57
ANRO,"Alto Neuroscience Inc","Medical - Biomedical",22.55,-3.67%,7,Buy,"100% Buy",+341.00,+982.44%,17.38,19.2,13.8,21.71,55.54,966.58,28.68,687336,No,Average,Strong,56.98%,1.58
FIX,"Comfort Systems USA","Building Prdcts - Air Heating",1418.94,-0.67%,6,Hold,"96% Buy",+316.02,+316.00%,1155.45,1331.08,1045.98,1390.74,54.08,300.14,56.58,463157,No,Strengthening,Strong,64.65%,0.33
TER,"Teradyne Inc","Electronics Products - Misc",305.91,-2.01%,3,Hold,"96% Buy",+302.81,+265.41%,245.05,294.39,209.52,298.36,52.26,249.55,61.88,3640532,Yes,Strengthening,Strong,58.27%,0.33
CELC,"Celcuity Inc","Medical - Biomedical",112.96,+0.03%,6,Hold,"96% Buy",+302.31,"+1,113.03%",104.77,109.98,89.25,111.78,53.66,1097.17,17.86,1031008,No,Average,Good,70.20%,0.36
FET,"Forum Energy Technologies Inc","Oil Field Machinery & Equip",58.77,+1.08%,7,Buy,"100% Buy",+300.99,+186.75%,44.39,53.82,38.77,58,54.7,170.89,63.65,149357,No,Strongest,Maximum,53.19%,0.18
TTMI,"TTM Technologies","Electronics - Misc Components",96.84,-0.25%,3,Sell,"56% Buy",+287.80,+362.31%,85.54,98.25,75.58,96.19,50.13,346.45,45.26,2369093,No,Weakening,Good,43.26%,0.25
LPTH,"Lightpath Tech Inc","Electronics - Misc Components",10.93,+6.95%,2,Sell,"56% Buy",+285.77,+444.28%,10.14,11.17,9.23,10.93,50.03,428.42,5.32,1744739,No,Weakening,Average,34.69%,0.45
VSAT,"Viasat Inc","Wireless Equipment",51.45,+13.75%,7,Buy,"100% Buy",+277.09,+401.85%,41.31,46.09,38.65,47.4,58.26,385.99,53.73,2602437,No,Strongest,Strong,41.14%,1.25
STTK,"Shattuck Labs Inc","Medical - Biomedical",6.39,+2.24%,11,Buy,"100% Buy",+235.30,+542.54%,4,4.89,3.32,6.11,64.9,526.68,77.17,1056676,No,Strongest,Maximum,56.87%,0.38
DSGN,"Design Therapeutics Inc","Medical - Biomedical",11.29,+2.54%,5,Buy,"100% Buy",+233.76,+195.51%,9.68,10.36,8.55,10.46,62.07,179.65,23.42,257586,No,Strongest,Strong,79.00%,0.77
UUUU,"Energy Fuels Inc","Mining - Non Ferrous",17.7,-1.39%,2,Sell,"8% Buy",+227.29,+373.34%,18.5,20.84,18.01,18.5,44.8,357.48,26.75,15828594,Yes,Weakening,Weak,43.75%,0.43
