Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D Rel Str","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
LITE,"Lumentum Holdings","Communications Components",892.58,-5.48%,5,Buy,"100% Buy",+951.81,"+1,247.49%",608.95,783.67,483.2,886.7,53.26,1217.2,134.98,4763548,Weakening,Maximum,67.91%,1.09,789.03,984.36,53%
RLMD,"Relmada Therapeutics Inc","Medical - Drugs",7.43,-5.47%,4,Buy,"100% Buy",+457.67,"+2,060.51%",5.35,6.59,4.6,7.32,55.36,2030.22,46.65,1202991,Average,Maximum,64.74%,0.33,6.91,7.73,63%
PRLD,"Prelude Therapeutics Inc","Medical - Drugs",5.15,+6.40%,2,Buy,"100% Buy",+410.00,+573.82%,3.05,3.83,2.55,4.61,61.06,543.53,70.41,681440,Strongest,Maximum,61.81%,1.46,3.93,5.3,89%
LASR,"Nlight Inc","Electronics - Semiconductors",66.19,-7.15%,8,Buy,"88% Buy",+369.81,+708.18%,55.4,65.98,47.73,69.47,48.11,677.89,69.28,1137309,Weakening,Strong,27.99%,1.28,63.63,75.31,22%
SLGL,"Sol-Gel Technologies Ltd","Medical - Generic Drugs",69.54,-2.61%,5,Sell,"40% Buy",+324.81,+800.78%,68.92,78.2,58.55,74.13,43.93,770.49,57.84,27441,Weakest,Soft,26.54%,0.21,68.96,79.31,6%
UCTT,"Ultra Clean Holdings","Electrical - Manufacturing",79.9,-4.27%,11,Buy,"100% Buy",+304.20,+312.71%,54.16,67.29,45.04,78.1,57.04,282.42,208.26,834250,Strengthening,Maximum,75.88%,0.74,72.04,84.16,65%
PL,"Planet Labs Pbc","Satellite Communication",35.24,-11.21%,4,Buy,"88% Buy",+290.86,+918.50%,27.48,32.04,22.69,36.67,49.78,888.21,71.52,12048353,Weakening,Maximum,52.33%,0.77,32.77,40.58,32%
MKSI,"Mks Inc","Electronics Products - Misc",300.79,+2.39%,11,Buy,"100% Buy",+285.03,+304.83%,229.08,250.73,201.31,278.79,68.02,274.54,81.05,1219990,Strongest,Maximum,73.55%,1.88,260.71,296.87,111%
KOD,"Kodiak Sciences Inc","Medical - Biomedical",43.68,-4.82%,4,Buy,"88% Buy",+261.84,"+1,028.68%",30.57,35.32,26.66,44.02,55.52,998.39,49.04,922656,Strengthening,Maximum,46.79%,0.32,40.89,47.15,45%
UUUU,"Energy Fuels Inc","Mining - Non Ferrous",23.35,-0.72%,9,Buy,"100% Buy",+255.02,+391.58%,19.81,19.87,19.08,21.05,61.33,361.29,53.41,15437335,Strongest,Average,66.79%,2.17,18.53,23.56,96%
NESR,"National Energy Services Reunited Corp","Oil Field Machinery & Equip",23.35,-5.81%,4,Buy,"88% Buy",+253.46,+285.95%,20.81,22.7,18.1,24,48.03,255.66,41.93,1325728,Weakest,Strong,44.38%,0.89,22.72,25.28,24%
IMMX,"Immix Biopharma Inc","Medical - Biomedical",9.54,-7.56%,6,Buy,"88% Buy",+250.12,+350.00%,7.7,9.37,6.37,9.65,51.07,319.71,75.23,720866,Weakening,Strong,67.41%,0.85,8.65,10.65,44%
SRZN,"Consonance-Hfw Acq Corp","Medical - Drugs",30.75,-9.90%,9,Buy,"88% Buy",+236.80,+232.43%,25.43,28.71,21.83,31.4,50.58,202.14,28.88,78990,Weakening,Maximum,68.79%,0.71,28.24,34.57,40%
SVM,"Silvercorp Metals Inc","Mining - Misc",13.45,+3.38%,6,Buy,"100% Buy",+236.59,+259.63%,10.95,11.63,9.62,12.29,64.39,229.34,54.09,5693049,Strongest,Strong,61.28%,1.7,11.33,13.25,111%
PARR,"Par Pacific Holdings Inc","Oil - Refining and Marketing",62.25,-0.06%,7,Buy,"88% Buy",+223.78,+276.59%,48.63,58.88,45.93,63.72,49.39,246.3,69.97,1348148,Weakening,Strong,62.11%,0.92,58.44,69,36%
SIF,"Sifco Industries","Aerospace - Defense Equipment",15.55,-1.52%,5,Buy,"100% Buy",+221.56,+462.86%,10.93,14.54,9.55,15.44,52.99,432.57,171.49,47585,Weakening,Strong,58.31%,0.62,13.96,16.93,54%
OVID,"Ovid Therapeutics Inc","Medical - Biomedical",2.73,-1.80%,2,Buy,"88% Buy",+220.88,+816.72%,2,2.41,1.84,2.78,53.79,786.43,60.3,2458860,Weakening,Maximum,51.72%,0.39,2.59,2.97,37%
TYRA,"Tyra Biosciences Inc","Medical - Biomedical",32.9,-2.66%,1,Sell,"40% Buy",+183.75,+260.35%,32.27,35.85,27.13,35.24,40.06,230.06,17.96,604987,Weakest,Average,13.99%,0.49,32.74,37.74,3%
PVLA,"Palvella Therapeutics Inc","Medical - Biomedical",113.26,-12.99%,3,Sell,"56% Buy",+177.69,+413.19%,109.39,126.31,100.26,127.12,38.75,382.9,1.03,242398,Weakest,Average,41.12%,2,119.31,134.93,-39%
BIOA,"Bioage Labs Inc","Medical - Biomedical",17.82,-3.47%,5,Sell,"24% Buy",+177.28,+338.92%,18,18.43,14.6,17.4,51.11,308.63,27.51,457868,Weakest,Soft,37.20%,0.46,15.56,19.24,61%
HL,"Hecla Mining Company","Mining - Silver",18.07,-0.44%,1,Sell,"24% Sell",+174.42,+270.29%,21.13,19.35,18.83,18.53,46.05,240,-13.02,22080229,Weakest,Minimum,24.25%,1.28,17.04,20.02,34%
GHM,"Graham Corp","Machinery - General Industrial",97.08,+0.39%,7,Buy,"100% Buy",+170.58,+192.50%,80.24,87.4,73.21,94.11,59.81,162.21,43.96,116120,Strongest,Maximum,71.03%,1.78,89.48,98.75,82%
