Symbol,Name,Industry,Latest,%Change,"1M #Hi",Trend,Opinion,"Wtd Alpha","52W %Chg","100D MA","50D MA","150D MA","20D MA","14D RSI","1Y vs IDX","YTD vs IDX","200D Avg Vol",Direction,Strength,"14D Stoch %K","50D RelVol","BB Lower","BB Upper",BB%
CLYM,"Climb Bio Inc","Medical - Biomedical",12.84,+0.63%,4,Hold,"80% Buy",+280.29,+767.57%,10.11,11.98,8.4,13.14,51.86,751.09,212.72,1031634,Average,Strong,30.54%,0.53,12.24,14.05,33%
NESR,"National Energy Services Reunited Corp","Oil Field Machinery & Equip",27.62,-0.93%,4,Buy,"88% Buy",+259.17,+327.55%,24.57,26.43,22.89,28.24,50.83,311.07,68.09,1714552,Weakening,Strong,51.28%,0.7,26.89,29.59,27%
BTSG,"Brightspring Health Services Inc","Medical Services",72.91,+4.40%,7,Buy,"100% Buy",+253.62,+252.90%,55.14,64.79,49.79,70.14,64.75,236.42,86.41,3037067,Strongest,"Top 1%",62.32%,0.63,67.68,72.6,106%
NBTX,"Nanobiotix S.A. ADR","Medical - Biomedical",39.7,+0.38%,7,Buy,"88% Buy",+246.91,+510.77%,36.55,39.2,32.03,38.81,53.27,494.29,63.43,71816,Average,Good,62.60%,1.15,35.62,41.99,64%
DELL,"Dell Technologies Inc","Computer - Micro",437.5,-0.42%,6,Hold,"96% Buy",+209.56,+240.86%,283.87,383.15,229.9,420.05,56.57,224.38,239.27,8059781,Average,Strong,74.90%,0.5,379.13,460.98,71%
STTK,"Shattuck Labs Inc","Medical - Biomedical",7.43,+4.80%,6,Buy,"88% Buy",+208.62,+754.91%,6.29,5.99,5.51,6.93,60.17,738.43,95.28,726023,Strongest,Strong,64.44%,1.06,6.27,7.58,88%
FTRE,"Fortrea Holdings Inc","Medical - Biomedical",19.52,+0.10%,4,Buy,"100% Buy",+204.92,+199.85%,13.43,16.36,14,17.89,73.14,183.37,4.88,1428205,Strongest,Strong,85.89%,1.02,16.66,19.12,116%
ANRO,"Alto Neuroscience Inc","Medical - Biomedical",26.78,-0.26%,6,Buy,"96% Buy",+198.72,+769.48%,23.38,23.49,21.39,26.78,55.13,753,42.17,482803,Weakening,Good,58.32%,0.55,24.9,28.67,50%
AMD,"Adv Micro Devices","Computer - Integrated Systems",521.95,-3.29%,2,Hold,"80% Buy",+188.56,+221.95%,386.58,508.48,330.54,533.06,50.04,205.47,135.44,40568109,Weakest,Strong,68.23%,0.91,491.45,574.67,37%
TVTX,"Travere Therapeutics Inc","Medical - Biomedical",57.36,+1.20%,1,Buy,"100% Buy",+181.55,+259.62%,43,51.78,39.39,57.02,59.22,243.14,41.84,2043760,Strongest,Maximum,54.53%,0.64,55.14,58.9,59%
BUUU,"BuUU Group Limited Class A Ordinary Share","Internet - Software",20,-8.97%,2,Buy,"88% Buy",+168.23,N/A,17.31,19.4,14.79,20.68,49.42,N/A,203.25,39693,Weakening,Strong,56.18%,4.36,17.94,23.42,38%
NGL,"Ngl Energy Partners LP","Oil Refining & Marketing MLP",15.56,-3.23%,3,Sell,"56% Buy",+166.18,+259.35%,14.76,16.15,13.45,15.54,48.62,242.87,47.32,317828,Weakest,Average,85.97%,0.38,14.76,16.32,51%
ELOX,"Eloxx Pharmaceuticals Inc","Medical - Biomedical",11.94,-0.50%,5,Buy,"88% Buy",+164.86,"+99,999.99%",4.93,9.12,3.34,12.01,53.71,99983.52,99991.71,11173,Average,Strong,43.03%,2.18,10.84,13.19,47%
GSAT,Globalstar,"Satellite Communication",78.93,-0.33%,5,Sell,"40% Buy",+152.25,+216.61%,76.15,81.05,71.24,80.04,39.43,200.13,21.03,1164335,Weakest,Soft,21.52%,0.89,78.8,81.27,5%
EFXT,"Enerflex Ltd","Other Alt Energy",22.76,-4.69%,3,Sell,"8% Buy",+144.34,+177.90%,23.98,24.88,21.77,23.76,40.63,161.42,39.22,539958,Weakening,Weak,52.96%,1.74,22.5,25.01,10%
NRXS,"Neuraxis Inc","Medical Information Systems",6.8,-3.00%,4,Sell,"8% Sell",+137.61,+146.38%,7.17,7.11,6.32,7.03,44.84,129.9,41.5,304721,Average,Weak,34.19%,0.37,6.71,7.35,14%
GLUE,"Monte Rosa Therapeutics Inc","Medical - Biomedical",22.78,-1.09%,6,Buy,"88% Buy",+130.79,+298.95%,19.17,20.5,19.35,23.56,52.2,282.47,37,1286582,Average,Average,53.40%,0.69,22.17,24.95,22%
TWIN,"Twin Disc Inc","Machinery - General Industrial",23.22,+0.48%,3,Buy,"100% Buy",+125.93,+158.00%,18.51,20.4,18.1,22.74,59.02,141.52,30.93,66659,Strengthening,Strong,71.17%,0.71,21.46,24.01,69%
ATI,"Ati Inc","Aerospace - Defense Equipment",197.8,-1.02%,1,Buy,"100% Buy",+123.59,+112.07%,168.72,184.04,155.87,191.2,58.08,95.59,64.08,1747115,Average,Maximum,86.85%,0.74,180.55,201.84,81%
GRAL,"Grail Inc","Medical - Biomedical",67.84,-3.58%,7,Buy,"8% Sell",+119.09,+70.80%,58.85,66.18,69.84,70.49,48.15,54.32,-29.02,987104,Weakest,Minimum,41.73%,0.51,65.63,75.36,23%
