Symbol,Name,Latest,Change,%Change,"5D %Chg",High,Low,Volume,Time
SHPH,"Shuttle Pharmaceuticals Holdings Inc",3.65,0.28,+8.31%,+30.82%,3.65,3.26,117900,2026-08-04
NEOV,"Neovolta Inc",2.53,0.06,+2.43%,+25.87%,2.64,2.41,1145900,2026-08-04
BBGI,"Beasley Broadcast Group",26.04,4.43,+20.50%,+25.34%,26.04,22.01,292100,2026-08-04
ARQQ,"Arqit Quantum Inc",21.98,3.53,+19.13%,+25.24%,22,18.9,641300,2026-08-04
AMOD,"Alpha Modus Holdings Inc",4.52,0.51,+12.72%,+24.52%,4.56,3.93,27500,2026-08-04
SILC,"Silicom Ltd",46.55,5.34,+12.96%,+22.44%,46.73,42.31,167500,2026-08-04
GLND,"Greenland Energy Company",2.31,0.04,+1.54%,+21.96%,2.39,2.24,696700,2026-08-04
DXST,"Decent Holding Inc",2.71,0.45,+19.91%,+20.98%,3.23,2.66,11933899,2026-08-04
NPT,"Texxon Holding Limited",3.36,0.13,+4.19%,+20.43%,3.37,3.09,66700,2026-08-04
YMAT,"J-Star Holding Co. Ltd",2.04,0.12,+6.25%,+20.35%,2.23,1.83,40100,2026-08-04
CSIQ,"Canadian Solar Inc",16.39,0.87,+5.61%,+20.03%,16.43,15.56,1801300,2026-08-04
TRNR,"Interactive Strength Inc",3.55,0.35,+10.94%,+19.53%,3.66,3.2,34200,2026-08-04
MOB,"Mobilicom Limited ADR",5.62,0.47,+9.13%,+19.32%,5.74,5.25,218400,2026-08-04
SPAI,"Safe Pro Group Inc",4.51,0.48,+11.91%,+19.00%,4.58,4.15,122300,2026-08-04
SPCE,"Virgin Galactic Holdings Inc",2.95,0.13,+4.61%,+18.47%,3.01,2.84,10551900,2026-08-04
SNT,"Senstar Technologies Ltd",2.06,0.19,+10.16%,+18.39%,2.06,1.74,27400,2026-08-04
AYA,"Aya Gold & Silver Inc",22.9,2.56,+12.59%,+18.04%,23.08,20.54,1655300,2026-08-04
OCC,"Optical Cable Corp",16.12,1.77,+12.33%,+18.01%,16.83,15.2,467000,2026-08-04
TSEM,"Tower Semiconductor",239.53,5.21,+2.22%,+18.00%,250.36,206.4,6331100,2026-08-04
